Healthcare and Health,Healthcare Spending,USD/person
Periodic fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Chronic Disease Management,Elective Procedures,Preventive Care,Surgical Treatments,Pediatric Care,Mental Health
5165.143310897641,6163.616821668472,4884.594239233458,4542.406242359435,305.4274286713487,1104.66209893259
6829.578288694209,5451.86863743311,1927.3288570314703,6733.1532739048935,852.0065381641333,502.523389666302
8531.351990641955,4980.831457673161,1926.7342732356765,8626.08652240329,1053.4102658369527,756.6077233767775
9444.51938906396,5982.147653973371,1632.2812982184432,9609.092580469038,226.29323284101397,1012.4099008929236
9346.491258232336,5750.166771581064,2079.6230127659464,9667.07788409702,955.616376156249,310.10905193237346
8324.355097028338,6965.600191980711,2343.4388069410475,8185.009593030128,938.1751377134268,893.3342407564314
6221.785026264859,7566.687775871173,2043.1268784710262,7232.467959083229,0.0,655.9593706150764
4548.563993406485,8352.597925289943,203.02559474517204,4875.574226319826,960.9444501600562,1046.2245959183545
2528.4124641662993,9745.567081806144,0.0,3214.293116690063,690.761452212345,833.3892493500401
592.5496690388125,10000.0,80.51760021081108,1294.3504277287782,238.3891006026558,714.0420142794273
655.2298528728637,9365.191526659411,599.5955322288274,896.8763946882581,1278.4564692881165,0.0
1238.4008394388673,8533.135500066182,1169.6752249408273,1334.7542149725653,1518.9239005120671,545.2157415715969
3883.9466273009125,8029.261571224927,1814.2120181828147,2011.045712346246,503.7811943815505,594.9324599882042
4495.158347828955,7560.576598326548,586.6276525449539,2814.7787440667043,904.99817330004,983.1394496331391
7686.777099410235,8368.822758778048,1871.542435514149,5194.501082085678,2180.297233633275,1323.078475754812
9094.320700478986,7685.893463826314,1743.9309139924287,7064.567006852583,823.2351079812405,1137.8532576426987
10000.0,7547.582149338853,1693.3201633553335,8510.095063784634,1793.4172462573677,1847.3711035849908
9831.35019721557,7002.733620640524,2493.171226300539,9351.782454188757,1800.560009998292,2748.8234944710694
9216.501825496885,6964.868209772856,2516.3090887131866,9935.104667049733,3072.3193878562665,2985.5400135515724
6636.3342899989275,6289.300984876926,2373.3320305129455,8231.092475591331,3548.379335048662,4319.0158657044485
3867.534228189997,7388.854031615314,2161.4855949877124,5822.019419201896,5296.497725253747,5888.941206501747
2258.0330864509456,7188.349866444953,3368.3621825951104,4989.434162985562,6869.323156202534,7243.294920601503
942.018941205799,6450.591797058489,2490.2338317016465,2416.1613061108665,8199.656495445197,8280.506435082527
780.8595769134909,6415.987425114933,2596.6777052527336,1715.1744481977373,9292.511649557755,8452.88216226255
1054.1730131606796,5264.405525561731,3156.311776994398,1269.2345097940247,9507.498121820465,10000.0
2631.6999992446986,4606.607285546009,3275.2575501836795,472.53461028624076,10000.0,9261.013843207704
5453.647755890438,4024.99695751645,3564.448234433697,1668.6119141911001,7925.237324482285,9123.968383162935
6992.4085782833745,3350.946223640258,4161.54871412657,3075.1169909526634,7565.489813197427,8109.654569504373
8861.759249718158,2917.757637393016,4290.164664350578,5455.923818711135,6854.458581260931,6995.316757486303
9321.555248071834,3805.5099373919725,5518.767371789293,7148.318303322211,4980.448006443774,5756.412237499411
9974.610405738924,3893.5806846311257,7199.107153424567,8658.97534255375,3881.6562171126434,4613.557576092641
8370.534768028469,2958.0642858061774,6673.419648301242,9198.848381907485,3440.954882675288,2852.991268508239
6278.014230553101,2836.718693662859,7928.358104036215,9429.811248774367,2162.8722787046518,2263.299671150305
3839.3573467773135,2945.0991646010716,7735.450705570161,7739.431734604508,1198.7003837846269,1604.7466050380772
2608.7828101722803,2751.6621738540357,6918.853753041494,6114.902969803592,846.0621361185916,1879.7361423722782
786.8238386249868,2646.3866407873425,8565.381007217009,4242.023749347767,893.7956823088803,193.54066645634177
166.7284896135878,2705.577595414174,8923.654013788704,2339.957572363645,979.9350116586701,1244.8231597473387
1271.730373125757,3740.088348838888,8066.115073700496,1368.8924494391695,1105.637065490168,1331.3112198151573
2835.363551404123,3392.5453693351246,8206.695933931367,0.0,35.76724954649667,508.55453450801576
4413.315899360692,3764.7062368228558,7556.0927602722795,575.1645217990991,915.9716027310676,766.439103232943
7473.358922446955,2313.5266329662686,8890.480661738737,1854.8357145517575,602.775416691386,468.62592063518485
9052.060417022889,1398.175547150711,8102.240487040115,4097.6447710041675,1328.3254760966302,1056.9146345395325
9682.094651882153,991.7360137340447,6984.75224235257,5268.373254262057,496.9412445199506,751.022939417037
9609.867411924397,153.20478066415603,7941.830923080196,7964.389390612103,675.0984739014069,876.7286927185418
8758.973192550287,140.74222923926598,9226.899558181736,8923.340047034817,416.150394348572,253.0601399433629
6841.6449041815695,0.0,9044.18929347142,10000.0,1088.9905703116672,670.1346725784254
5055.426773196252,805.1632985367934,9386.877515986067,9220.589072300296,289.085499577751,659.8961420789891
2917.6185632633988,1175.3295293591234,10000.0,7320.601845807942,40.28247195195831,1619.2505694595716
1253.7068953200228,1252.5910378033773,9246.420679886663,6302.503934604236,805.5376817187125,1586.226417541557
0.0,1434.300958156413,9792.64015970211,3663.7913399876247,368.1271905695493,598.7070216679124
