Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Random fluctuation,Single Peak Distribution,Single Peak Distribution
Mountain Regions,Suburbs,Coastal Properties
602761.0443456892,119824.8398049509,58664.62113568368
652483.2071891117,180277.3199978686,56475.91153628962
880933.8641107819,0.0,72316.01409483746
956898.532806656,30740.142079529574,108532.3535765684
759117.5872215739,106469.47189753741,84889.33324445577
893447.4018070673,34262.44125830654,90037.37108195185
875592.6105752983,132742.01481755127,79034.18118226461
745434.545622344,79840.07771428293,48855.98947357063
809951.086094879,127865.12436386386,85612.41341901074
807105.9058982413,78668.32357859057,88586.99389166385
825324.8842499425,64873.12612017833,66540.97292892284
958496.8034800946,71979.60826625564,105669.22690915961
1000000.0,93401.31841555727,50349.91899322999
696569.1498762612,100779.14651824534,155897.83500513376
436479.3365482836,67352.20081414319,92418.52247791237
461749.30649169843,98125.5880692646,133433.19909668635
163649.52810829348,181955.0292335186,126474.03113520922
0.0,271722.3742785291,272109.7745466712
165989.97187963908,316760.33787150326,331883.8790018914
294451.0680062328,438929.56053862,447062.97512415727
471531.4939937966,533713.2177164058,531745.5142809058
525694.3717935306,716265.1850188526,688222.8179059157
566624.0044633464,864319.1077350758,871794.641734147
685009.1742148589,919299.4209071484,930315.1743469135
864954.7637251359,957026.1463196874,970018.4525942842
849276.5254685116,1000000.0,1000000.0
801306.4129387572,942860.5836552297,925039.9076863311
570400.7040925125,903040.6840675732,868961.1845142088
705538.7031100929,703097.2235225885,672038.9227721969
591386.8871660628,568034.155552198,581463.1517268158
413051.6312951095,526411.8694442827,416184.3882137411
404754.64079583355,359625.81489192066,361356.1124815232
324651.5803459104,277391.48382381967,241325.60821900863
408745.15782109014,254679.1628724592,112083.44165506582
809174.3386344122,64021.78004626491,190540.12592334705
397116.99446328724,29348.61886354837,185260.88295843976
290157.91317478823,72419.50116396579,91702.83941494755
302873.2307860633,82961.85247272252,101284.24366555212
32044.394828260847,82467.5128073656,60618.099498954805
101397.84629055766,37736.87483039022,3297.8104469349437
346621.10529701825,100171.46716015007,157661.9375703562
114278.48580444904,122006.72220276251,74388.46088719994
119571.70192846782,97879.45661407661,150294.91363731844
279730.8097410984,104000.76875417004,40267.94366118922
501076.5485766023,61042.61221419531,53504.18577911429
674402.0721967984,142947.98029302392,68964.31348401039
521644.57972172106,26261.563391637024,19384.96517324523
491536.97578535095,112748.97604711525,96600.26275848542
419314.5939936284,64738.247370738216,97842.11863225656
350691.61783082737,88967.55361271561,0.0
