Agriculture and Food Production,Crop Yield,tons/hectare
Random fluctuation,Single Peak Distribution,Random fluctuation
Rice,Wheat,Potatoes
4301.658961190836,758.949308501847,3323.44424520404
4194.843100371735,0.0,3393.532223030121
4032.325305342676,92.87761235811381,3720.614621314978
5000.0,791.5073683823987,4305.25845787698
4830.660460964986,361.6159413666691,4532.095185789593
4455.592864149962,521.3106783783846,4675.531423876735
3361.1777569860974,470.0531685959109,4761.502335399791
2266.2128056205534,566.3966013831938,4832.419994469747
2363.6165797090894,336.2740442976521,5000.0
2155.9228161043616,547.5739392091808,4983.021992596775
2703.2192017370444,243.2276079025886,4359.287777645249
2915.8371654321154,205.7464650527829,4361.242786280513
2481.1939083082957,857.5900707599965,4173.445663404688
3194.814043117758,533.6668307677156,3862.3882768654944
3237.993940896358,581.5327350634124,3066.608585077083
4181.893469212049,829.8296463681702,2253.159856522465
3441.170971374343,679.9452557459482,2548.756825833501
3429.8315339157043,1495.1890736119806,2008.5424656099146
2726.3010932666475,1798.4045782937446,1110.9035123355666
3805.615145631703,2759.3105116942284,523.5191779215362
3669.670813698704,3084.5837514215486,332.6517424550028
3235.101996731056,3620.802611238548,512.7592741992684
4095.9764762178925,4195.523434250933,570.4178644364121
4717.301182260147,4516.338853600533,437.5026068483613
4773.258284531353,4851.399326976296,759.7676291354784
2862.78480908514,4806.06406909158,555.3830484284695
2791.3437288228033,5000.0,73.12922666977973
3909.057008534454,4084.1277721548686,346.0826837007654
3747.9953012699425,3136.068770812005,939.763743576575
4675.056168069666,2746.9887506847763,1403.702843199189
3844.4258416314697,2583.0084190638327,1584.9727861035594
3642.3361080542295,1678.7365874863126,1400.0849284688347
3488.642581195256,1504.754372435672,1690.9385324758327
4018.9666904663472,884.005072191626,1786.530516088271
3046.624516540718,800.4619254479237,1697.4628216724946
2848.8950805162713,580.5294277403531,2287.0686609923714
3045.6950276895004,819.4218022263854,2393.423787866785
1693.4000983312603,511.28228176889246,2239.6655764329576
2014.4036386763216,341.5728189539933,1719.8378245380386
2474.1283667795346,516.6338799965208,1300.4073685530861
2119.2268428612483,366.60239062766783,1136.1115601804704
1250.036679672353,885.8257106475305,1235.8226294860115
1236.5597339651529,564.3992991584984,1216.6671336411173
1663.1601617920885,727.9777372187475,954.5433366999596
907.7518435771203,212.60907834233373,590.1437061334801
832.4765810960354,622.4512682500274,590.3821586353721
590.0366574400151,50.244415316600396,1170.9376086621069
29.640205830285993,614.0607892905939,351.0065672148004
0.0,168.89723654415778,0.0
553.5010461178824,208.162240389882,4.177943278791992
