Sports and Entertainment,Event Attendance,people
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Random fluctuation
Professional Sports,Theater Performances,Food and Wine Events,Comedy Shows,Film Festivals,Gaming Conventions
601442.4708004616,508275.3204046323,32358.033342314407,90114.94171714799,19906.88167093309,991248.82766373
745857.1228429102,761859.4137022496,75902.6259361493,129104.97883168032,68135.54375830684,885997.6062374121
909408.0125186648,936624.564618367,31433.05349540941,122621.21456539437,47678.379044835834,799827.8225284419
1000000.0,946324.6607737761,12443.29274627989,112305.9206055821,57873.32803257795,848038.9721644286
851082.0228708226,975138.3980616773,53152.52594897381,85437.30127930276,77816.52136702354,836161.6552161416
804877.340377234,871387.2458812842,110018.82620379722,41157.31445921369,172637.37990766324,740268.5187127859
454309.6958768386,728007.7030967519,80683.4913104726,57244.60003854207,129890.14808280405,749642.3684710494
377882.031873138,507054.5229605222,39373.017067927816,108630.75139232879,268703.099948496,629947.8134058743
140930.6410838835,337225.2565731337,0.0,79780.82109734161,140817.57725411598,719139.3486847305
0.0,209580.7864109658,49831.96156497629,35978.2859909653,0.0,718803.6229618334
115858.06929373051,82036.1866627211,75049.04038675773,62951.11988957133,42850.43161202709,744557.8322117635
228540.7148320919,60645.648778101626,169297.90440638844,0.0,143364.31347288846,739306.1635408284
464887.0908679317,93302.68585557945,70528.170266672,168418.65950584065,42502.19204214803,796718.3619909819
750416.2431008208,192329.06304294537,88168.37960615005,47841.590908673745,83717.8639539362,575350.7448667039
905480.0120118922,368610.6332368411,81732.73740517706,92157.23296172234,96206.458781524,503361.4689936494
954817.4469367537,565486.1275836691,57285.14776541563,83499.60566365969,56740.583102643504,609449.1683673899
908114.5512629527,756882.7728402955,169497.3806204902,210800.17924154128,38852.581647994004,528691.8627481062
783186.6281582514,964507.4265462464,204050.1707118929,201545.56169381697,44778.95905870563,600080.1773691765
564600.2771711389,986647.0007254638,185819.13894475426,346028.58034496324,145518.85983958768,793596.7322153011
266198.49658629496,901728.9254948223,510241.91473056015,414377.57433967513,186672.15491936827,737843.6420859162
162503.46744433334,894864.1640193769,586940.3335194368,578072.9286158434,334141.846037001,779513.6922319208
30156.033777068078,739828.7580388366,695410.8987489556,676650.4485848325,391524.2283030149,724104.5308846011
184301.59229744182,561076.7021130269,814308.8496935616,815089.8519731933,422584.4366734117,937418.1100104601
190044.7040063966,316827.15249146277,843138.862472804,880970.7192606993,454656.37697308674,844742.0591046455
364573.2273511531,174077.11183405414,962586.5527658144,974133.5015659557,605019.0972538886,747443.0265414467
684150.1614424427,0.0,1000000.0,1000000.0,729484.9078965825,762627.0044950932
955389.6767768186,33273.3774733628,926726.4780913077,845784.8489660262,610162.4152531272,528651.1635051143
940771.941496173,130235.44498647065,794357.4333952892,759206.525950791,757908.664688923,458362.7476432396
904472.249005776,180102.79708308392,734122.2431379927,711133.2390801538,597677.6414021133,304377.7626727683
821662.2394736819,431981.96805242734,549258.8049175334,495750.6347491775,603393.717824085,430004.46936768736
615958.3587806448,617409.3355442015,462384.5909216182,381935.2958720494,608486.9832860049,365754.6295164776
385476.7746002596,753194.3405783657,366314.7377077067,241828.99835183355,590157.6862028304,390431.65872956836
223215.90456816475,835187.4611106489,269192.534810793,245297.33312445844,536999.6189444995,511525.27516878874
47568.15935125194,950888.9005664911,165206.48556407169,229444.8789426513,441321.43103923276,408365.68699844886
108754.37219033345,871059.2168311523,121398.8127409547,203030.5880917008,449169.19567874086,327921.23030762555
189675.57592538005,848265.0636971586,80244.05424702774,74738.53705193575,439314.026430942,351983.1096313469
415225.91149947443,655885.2633661543,73065.41814416111,86805.14955945847,491773.8177361515,251796.39260925795
691719.0592103332,470824.9192386741,58986.98073485473,67551.99308840642,539869.2567891716,119165.31334823041
851910.6880570137,275100.20393230906,119466.3244191865,40822.53863785359,556429.2702327666,0.0
967589.3663213059,157927.29115183582,7502.694537499236,104207.50858355695,532386.6053584587,144967.5332240805
913615.115276202,14456.15120057304,13985.367410004956,7227.397030122679,615812.9371403602,271363.9080038831
808652.6101217398,92423.37123398246,37095.12417716416,83826.08918350328,685456.6374218131,382508.45683849225
650156.8126602838,118826.30578945384,80570.53373953071,11917.574842728702,814579.5074545234,651470.6788392139
429018.53815926204,248189.3586792533,66910.66148129001,56890.65838343131,884458.9446854877,705516.1275489359
186465.40282613234,424079.40576364874,66111.59025926878,53748.343626394286,973243.4733578119,720482.7037762519
53057.67498954065,554246.9090517992,49396.76802226623,17665.55174884823,1000000.0,858728.4595071744
82523.72447125624,781388.62561866,4538.659967778117,48192.17108218484,812851.5809082533,943816.785244011
152969.72822557174,942871.2578562243,65022.78516204023,45229.84180685564,716004.2961710994,909508.1616510546
343578.45239347604,1000000.0,84210.42915739476,159871.9541699422,686030.0559285558,1000000.0
616155.711801689,970260.5653546726,94447.70279594457,133706.10613022486,624932.0543226656,923469.6682394875
