Food and Beverage Industry,Beverage Sales,bottles
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Random fluctuation
Coffee,Juices,Kombucha,Alcoholic Beverages,Energy Drinks
0.0,954.6176149438747,15533.831494613602,52307.52852313999,97959.07120852052
7132.867789882702,0.0,11077.337500551077,66886.32147649821,100000.0
13522.26171117113,3729.896024660245,4905.422416392667,91156.9255065573,91268.19112490214
9878.657512535321,14215.351428549391,4458.341600088148,90562.86718803446,84888.70326364563
20040.66977570551,16242.68826610406,3117.544065614151,94011.28123946447,92570.06389122947
15444.396399677946,30495.995602193187,8646.188438823245,90152.4648093301,86228.05363082638
14240.317148221444,32115.60065768965,9367.841666579501,67620.3357175282,70852.32451921876
7042.586918681503,32009.7987279509,0.0,48190.633783221296,66716.01499009432
10750.086446380574,27242.175269176798,7447.659299644109,32088.55065918611,74614.8506095737
9792.022228355216,38825.19674402617,9514.675148481427,15812.283673972222,63309.2123340092
8161.146802311905,34918.417934740755,8477.257507011589,12424.368646660954,81580.46585041033
12581.196701358682,42380.95119901496,11473.910245088993,0.0,88260.69401815228
15319.191277433392,52062.73139804026,6632.384762504335,10537.6464235948,79914.71883967289
16427.146770977546,53503.46502047801,7911.550133466953,27374.336005818615,72825.16359172389
562.6368528127251,43170.2780272588,13069.204842676101,47454.16093041384,62735.39385780074
14638.275861757313,49306.90083074213,19568.624130560722,73886.93982016186,53024.315044306015
17497.114669843093,42331.691390113294,11460.764342245664,81964.95727853019,41442.31640582141
26800.627316866503,46415.427476599696,36845.537263795966,89270.79784581036,41538.18077671782
31506.61250608398,39218.20306766557,34350.89544080679,100000.0,58504.91554407107
47730.48258333698,36954.32369528409,49555.01723939632,84609.84463718395,49145.82568428596
53298.077087035876,49894.18692738123,60853.21931602569,72145.31929377641,57762.050437422775
78344.67003733513,56887.85379867398,80143.51132353306,56477.87359159081,74507.1531553574
80949.75470763078,52192.22551711638,89954.6149461284,30640.28512696144,60815.394297894556
90306.89505887774,62853.25799908772,99087.76204025174,12301.620463282665,77320.58890943069
100000.0,56946.78059597811,98784.00818972278,7492.790748840557,83219.77296009133
97932.77497632528,53372.03794951063,100000.0,767.3377544738061,84387.4386453536
81205.74358057945,69468.04235206947,90155.95096527338,10511.978304564882,97815.10956880113
83806.62798535755,75488.92032396384,93939.7196054661,21430.479596874047,72287.32910330739
69794.51478208962,81362.47384008236,77996.5088263033,43490.63799433184,60639.286756274545
54970.30693735288,78106.31550584473,63916.05713346114,66718.89807717483,45748.06070768017
49173.917172696056,86310.09703500461,41434.79280408728,80582.18400364398,36466.82531996857
28797.078204112397,76293.61218776907,30486.288729193322,98504.3871914318,40691.54237497909
26912.122841878543,69881.31500297565,31730.54252553338,95112.24497532884,58457.916754626895
19129.405902452007,80604.42856551064,11955.62594148418,82801.29119645894,83583.64086518147
18644.460232268968,84592.2019121197,13885.426292343162,67973.10615933457,50224.54566340824
5690.83325679167,79310.5862989485,21399.433394654647,55586.964780451155,52480.99410468352
6233.641867079224,70295.79986430962,17053.933318628613,34893.169594761035,49376.53530227964
20523.492750401354,76560.69226246844,6232.766256227199,21303.28701982074,19309.395451316126
12807.533692016399,77080.60634714302,7439.942515637629,789.763081341578,7484.179663593108
10303.313154657006,82322.36930192032,9122.294718267749,10582.414653049182,0.0
11918.770097375706,86341.85173729718,2169.0684536040526,14305.827390966422,13271.57529778984
8223.222491879344,84847.91966714601,10256.638210287765,34645.976652215424,16428.85236912961
10046.381394429765,92297.12195939322,8958.51578604207,40506.43214220024,28930.08244961895
12516.984836142165,80550.87402686391,10477.89108395562,68801.37680121692,19214.255779580984
10353.802989607153,98137.66487390954,12225.11253275071,85846.56340239303,18358.910527155364
4475.931311228654,100000.0,12612.985671496657,92521.60944036995,25226.376040869192
13067.911578316072,97896.28556883862,1847.536681612302,90721.14556813655,26531.59490671883
8543.630882029656,98034.64767583532,11721.173873622916,85894.31665866669,31348.34374449676
15097.265225284156,97330.41724568157,8976.979245891147,78172.0603602631,34660.85060551603
9991.581123104774,94073.31378907242,19806.777924930888,59083.55909020573,29913.565079844222
