Sports and Entertainment,Event Attendance,people
Periodic fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Periodic fluctuation
Comedy Shows,Film Festivals,Theater Performances,Professional Sports,Food and Wine Events,Gaming Conventions
552299.6505482813,245318.60152290136,160023.81411397233,464141.2359495412,494485.69111321174,553466.8769687879
826199.7421268002,243088.64187947568,107037.22554295791,553159.5751047469,786642.0012529395,622899.1455720166
922964.6712242435,356878.29409516003,133681.8845434865,561441.5440946223,935652.1055235108,822511.3993838499
968128.2296067962,501775.06621300126,132789.36124645572,252346.15677809596,883100.472678798,934931.1675858713
800503.5122497069,737614.5218511986,100875.32317655327,191038.45923779378,694433.9267828488,955000.9218734887
458451.3352973034,546971.165621431,131327.41643872074,133528.44028631,309281.34520971664,859412.1633589272
238471.68477599233,808328.4214416569,115350.19858874862,27119.247060960093,120387.54931869099,703170.1171907808
101977.91194423746,776648.7833669416,0.0,0.0,107586.92655979258,521947.63153954514
36109.998336293145,646770.0724644981,161504.6002060988,60699.10991893439,217055.22729936623,387874.04574917397
256589.83645955197,476752.46299877606,117730.35299828542,160283.92359413483,516733.3814352196,202697.57200355054
517884.6210926362,464050.3952158208,98914.00050207434,316397.3757702028,778155.7699913691,38634.230372647435
788753.3176193206,380507.82239285525,165661.1088804122,251715.7238216649,1000000.0,57127.53334789393
935288.3148603975,722685.5554331763,123641.1788029956,307577.61950993334,982087.2319757756,37463.69871778296
939211.4228366029,826015.0957017352,49176.75457909332,456272.53503974306,744938.0187766394,123342.52033571414
770746.1494577018,936466.8643465359,140691.02863817275,455243.9685558295,441399.8382416079,321113.784298634
489790.869793812,866663.0901485159,229255.27253328916,436269.053013602,154257.30053245102,534522.2621333662
152622.75322488276,512857.6520648766,248192.57751082096,472104.30266350077,0.0,690402.340529308
45689.993626516225,378793.0387201622,251249.9442556873,530537.5586931788,269162.505249878,823771.619110912
39874.08717680886,115629.7935326138,385377.6385673367,524369.1379743663,509986.0948594648,876838.6797954693
174540.2836978982,44625.47561896744,530095.768973879,409586.40291757917,702810.481923766,920779.6050388173
555148.1510394191,147518.3868655475,554049.4280382462,309820.32619201206,865459.7150789666,839155.0812742474
728551.4015674281,190438.37893179583,738798.4760096677,213499.80313764783,883267.7090808143,720693.2567356734
916606.1635024744,472236.2948474552,796705.3875800045,450837.64280369174,661966.8961083178,571065.0019693618
926045.4791623866,550920.1858452924,897912.9966584803,450489.77142888255,395838.4707835439,297303.4811027614
776816.2394693177,718570.4906117461,827580.7907276686,371033.347183648,75527.97667676643,171951.9506385035
560523.9379487109,696087.7089827779,1000000.0,335315.050703962,59567.05467016375,58183.95304254281
228180.2545734355,848358.2151934104,929345.7842886097,533981.6136900324,217158.68007929673,9164.62645521057
36954.3512607634,838277.6460213349,777754.7524525383,659464.905124447,496690.087713826,70661.24492183593
0.0,646566.546736182,722538.4020753552,807430.4240947615,721670.3059198475,124391.88614598927
235631.00995566303,452537.4806868962,657290.4493712209,992988.6914883659,937053.2683219394,363183.8573724701
439475.6591479771,316900.5352874236,564145.3620229949,932975.7421277028,979457.4511592945,535088.1797283522
740891.9935069471,295713.97308348946,341937.7962299183,1000000.0,655085.3569118507,756994.8204703211
894307.9567134638,214833.30884417324,251259.44601465054,864218.1008274952,408284.6881589294,844917.5429117294
996529.624909923,239022.87363321893,252099.87447125875,829802.6427939486,160081.21298416852,1000000.0
825227.3341945739,173834.5756092429,206093.01109035208,836299.1721547528,43742.919106473644,912856.267265537
436043.25598873175,210798.16208757332,153988.5854555728,802483.4435323657,174259.03900075293,810879.9962824841
187860.1719877667,189802.24357505885,135048.35977677733,873176.2984047941,445402.09949502064,677367.8407273594
70480.36521620274,163577.63539538303,91121.47510443816,745402.4107792592,735023.949573081,532016.0834600189
33684.19584846641,0.0,170147.30162098748,870029.230597473,932595.5511419012,272996.4456332669
203475.63960739903,149385.139558652,192404.11329830863,869408.8208271594,911135.813829476,125960.02360275338
496667.12781580404,275460.8421585617,165213.7066550995,845865.9166125613,650490.9449000555,60604.94002653762
727391.3432007383,109023.51473470696,75900.63736570686,858569.3715090342,419675.34929538635,0.0
1000000.0,102618.39999629547,28614.76459936567,847565.5710508551,141540.4631637877,144026.00865250165
899626.8589975841,481247.8722126054,122786.27909629699,913903.8523126355,73401.4978996417,187892.42476636442
751189.2387235161,593418.4745234494,137312.27100407038,943496.4006911783,218508.15421718959,327658.20163928624
513426.9963527446,595392.608937468,130473.37374023494,808897.8612369808,353149.487797849,523652.8877182475
229488.58322965118,595563.2457984927,149458.29489905073,951684.147841428,774638.6083699708,700297.1345617211
36156.08820658043,671515.9868432534,137002.27894787118,959259.079008529,917268.658882538,841202.5529881424
39063.711846458056,1000000.0,80424.25122244543,823042.3992688169,929300.5465636728,919503.4927954632
175485.0477672476,983827.5106322301,186966.0292391712,796972.5344618356,790099.9329570035,937559.9864856104
