Science and Engineering,Research Funding,USD
Random fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation
Medical Research,Space Exploration,Biotechnology,Quantum Computing
49534993.97942303,42989058.05306285,8358486.9063980905,2959222.7533893595
50167051.49641465,57419294.53148305,3738737.80848859,12380551.31402147
42481342.065335184,76256365.5510748,11518929.889560187,28622399.743032906
46356503.68722359,85458499.62987806,14127946.102570182,15017852.951389376
27899474.55846281,94577933.09063189,4243991.760950587,21683801.54784886
24392617.122746322,96369956.80668706,8078666.819444799,30479939.93193116
14564511.334359117,87663254.86923105,1512263.6270526033,40563344.807442084
26228709.740442812,86152699.16395146,3633657.316218169,17899574.948767323
19590253.908436473,62643259.47506032,8829852.950431835,29871307.158700917
27930019.479007557,58106812.56499468,5719171.045657581,20185640.601279356
29873470.514221366,45092992.42688538,9241283.013735404,26648828.065521214
24389250.16290075,24613383.227597345,6245002.146929021,0.0
40459741.230876915,15934361.896416204,1914241.2607018102,12180320.690077132
29471901.573265806,14092752.712915605,12334641.252013197,10403631.674913093
8638582.3587745,8007975.4099292075,11145837.265437918,10792145.296836372
6523392.452976638,10141678.009395424,11770713.35001835,7850459.804623989
0.0,7748878.967277049,17374384.29934671,11831563.767241469
12395776.50154696,25852044.202097807,27711748.8389247,21557056.733278
29742430.216571476,35365878.698993534,44768128.287196234,43614964.98032936
27191785.613337364,46666655.94381161,33865837.574949905,42837656.838105634
27936070.706454292,55413405.12536877,54901242.02691666,53550156.759130366
42756320.93742243,60354659.7606183,70743161.88491449,55640204.58822736
49048130.471625,89308149.31566413,83135334.19718027,65615986.22445732
57317476.99901212,100000000.0,90832473.55961959,65338911.696633585
62361304.382992655,94263139.8667137,97226529.23857738,57181674.44386517
54879409.67983085,85051562.76683718,94684228.09544227,48816402.496682264
47496942.99917036,76777874.59631091,100000000.0,58031291.10848838
43119090.876916125,66953279.15513444,81879628.78202935,64337771.89731476
49861633.33580521,60632000.21751508,67053706.30125018,54373241.4693948
37346180.301637806,44430197.55938191,58896859.89549309,53003227.33020551
42523795.30986145,40068170.83766658,49042452.37682346,60394872.99356753
48681988.75227373,24317583.564545885,34393444.53288422,69951613.52302219
51226202.3104931,2498379.8671316756,36597197.45466348,71485703.08127832
44524525.5018757,15566771.434975445,5715819.909076769,77555458.00647801
34598694.447914004,0.0,10079116.853002608,89394831.3056734
45730428.34174465,10780715.451434096,7043619.847835887,100000000.0
35665457.31166313,14925901.315826328,2833226.1082993625,99766113.48326842
37314654.10503179,30616467.32594323,7818143.537979661,83722212.61159354
44349605.904785514,42960932.51222357,9162972.224038094,79499662.10781705
41626159.21315768,60705957.09327569,17918495.606165726,83895377.3308343
47539572.241806515,66813554.83644322,2599332.9271930684,88733728.69391109
53491020.253042296,76950620.63630958,4438079.586649219,87565903.90041886
59988215.088883676,97681765.24916248,7442625.257759421,68078199.76682132
62508163.63823487,92485079.94362304,15439173.327463197,65445710.69226475
75132410.2518364,87982374.08422703,0.0,77222319.69262554
73395630.71363404,81594272.15525725,16659147.650156902,94264784.01505612
87930404.18940693,78314814.52674808,9503522.249250922,85287961.27183889
100000000.0,60388438.55446729,7813694.910432008,99363502.72995053
99345258.13122003,48482867.27234878,7434920.955760432,96684343.5283317
92210484.41073917,32437687.887020085,844531.8634516957,98610096.669098
