Education and Academics,Academic Performance,score
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation
Arts,Vocational Training,Humanities,Language Courses,Social Sciences,Physical Education,STEM Subjects
5.538794529229392,5.1530972937155255,3.4146907657566947,52.41618332508343,88.57311183903991,34.287177665940824,47.341793288813385
9.628696687931827,2.1500212701042605,11.12232145509999,81.97492157179416,93.29078432239612,26.27826273129297,65.99833013718151
6.408462286764323,1.6393006370967462,8.978876746094452,100.0,94.18707780102685,30.300695468069616,78.9739278050625
2.2501898919873096,7.614224789290162,12.30511622336679,89.12876102601372,100.0,29.407606549929206,97.49154953130042
0.0,0.5997353987538001,11.697547721335734,69.22146568896198,95.22210025705452,17.539138627025817,95.2618837626502
6.489080683570621,1.644708848270944,12.534341090859751,38.065618469990426,88.50707406669446,23.31213991089324,90.70972865943212
19.143465567812548,6.446678542899728,6.902093889986307,15.507460891807733,85.1726819990099,20.094772465848664,80.688257771546
10.58099064845366,3.309528726189455,5.307037476308736,4.995181038810048,80.11556109881133,27.107554772747143,69.8739746544889
8.58736332807586,4.597646458473444,12.15206485127165,21.088345487053715,78.05486271672993,28.99224654067627,45.37225641661913
8.549122396894635,6.357110798615297,0.0,51.6844604515583,69.95527008809611,32.100063037221105,27.82943818591167
14.51196275515772,0.5477839638462719,11.659966353259739,82.68861930534919,71.42192220698101,16.65896589895725,14.248085756689271
22.695901303104623,7.366269495720017,4.052352246717426,90.51780954238411,58.22063753409967,27.49465016339665,11.782357494572448
12.239416189028136,5.65117480760907,10.302862692730251,98.5280013323298,56.22258363599977,29.08523748397863,12.64750348467712
4.548129529766091,5.9497328089557335,17.761566931538262,65.17980170796551,56.99093582996567,37.95645738329792,12.108269030668252
8.010784990603803,5.239157659559033,13.43896652600159,43.988434471815104,61.62178420237039,38.02755485506716,27.754585862980157
14.468438013237739,8.874835523424379,13.550210852318786,14.330082725544202,62.12872822765131,43.80441641602882,45.840568308265695
26.79125142985295,11.043491701401704,22.690424517621963,10.702793676989417,64.37433604899758,46.10990009577756,65.22785868695897
25.620847338384912,17.038158013989865,21.94952785703705,24.559611689737267,73.29993315812548,38.02210231569812,81.86965375642156
31.890563349594693,26.116449840093697,34.940372093316,55.00447221067435,73.20458870007465,39.92742360793809,89.6208754885009
53.62435114596236,39.785410416954285,45.513800234892216,82.52707539811237,76.26288262960955,43.94401356487257,100.0
65.73666263381526,62.862163327830935,66.85508032697727,86.30242230078734,75.68821947415528,31.758454491838943,99.69223322276771
72.52208458115625,72.32493408065291,69.26758507230132,96.38637104081032,66.92190743763786,23.605356995336315,79.45479616224783
79.60717881275137,86.68880855156699,80.57465575962321,70.16303983916183,65.07915989003273,18.0199469186027,70.12810042083754
94.6253629118736,95.23800728639338,99.22773602501171,40.76413566408273,73.42502678302422,12.588036335983288,50.13916053404729
100.0,98.51568564395056,99.04325484732419,10.76451996266722,69.37970994188109,16.086348365048345,30.411890682717978
96.93134694579693,100.0,100.0,7.276552628367616,68.12528765294607,25.249755405642865,17.663043108681382
93.75663192906849,92.44423463580729,94.46077508965736,20.468863316417984,72.49703494738824,20.869866331371913,8.764287089394864
86.09065221193272,85.41716180259407,86.26379907164736,54.13905811005451,69.48667172307943,20.841383291353775,0.0
69.87708440346746,81.17604701594429,73.19490711753446,67.85882123785403,63.9724975385191,0.0,4.789362209413387
64.69342471423354,58.3525555375269,59.60425846138032,90.18028684340693,58.33789854156246,24.396101215127135,23.543924761706485
50.906685203835714,32.357659123852386,41.20969031731518,93.03248320291777,70.2138591062358,21.423000374089266,39.31806718046875
39.56344237252836,25.29688251405304,34.207084169118545,76.17849333433001,62.0525242378281,45.08902969433581,63.8471226165356
20.890214832084368,19.273666572325826,26.13335329092028,43.50294887905142,76.31714193629907,41.33268718258557,73.87357617834196
19.26906718902697,11.687129106282738,23.47390557211546,9.050507689078923,69.94845067892618,73.28570353253414,84.51182712347538
5.885907807207827,11.634177074836268,17.340620107163172,6.953334482046013,69.96754258489418,70.19736745372217,94.28912356825474
7.906895435952742,5.929583925095564,15.355272979587214,20.695998965399635,68.76190650437654,81.23174280276511,98.87168982804498
17.310588280660316,4.125667300640311,5.187979950730059,51.30903202219416,69.82428825228514,90.29625770846981,88.6765151846388
5.798780826794616,6.413672531792412,8.228398240704546,75.03926327389921,73.9303874889861,79.99326939979242,75.49657385330148
15.349255757872381,4.624475918336627,9.689841660912704,97.02685688886504,65.38157395915334,84.70155426357712,53.3622620583179
15.706756794511566,0.3951170272649672,3.508537250734234,96.36061628846758,59.89136316052148,70.77949543861808,39.06438172641342
