Human Resources and Workplace,the Influence of Human Resources and Workplace,u_shape,negative
Team size (people),Absenteeism (days/year)
2.0,0.92
2.24,1.37
2.49,0.61
2.73,2.55
2.97,3.52
3.22,2.93
3.46,2.13
3.7,4.27
3.95,3.44
4.19,3.49
4.43,6.35
4.68,4.04
4.92,5.63
5.16,4.56
5.41,6.43
5.65,6.51
5.89,6.34
6.14,5.69
6.38,6.21
6.62,7.64
6.86,6.45
7.11,6.71
7.35,8.63
7.59,7.34
7.84,8.74
8.08,6.1
8.32,7.31
8.57,8.15
8.81,7.88
9.05,7.11
9.3,9.2
9.54,7.57
9.78,8.63
10.03,7.58
10.27,6.99
10.51,8.92
10.76,7.57
11.0,7.53
11.24,9.01
11.49,10.0
11.73,9.19
11.97,8.66
12.22,7.35
12.46,7.49
12.7,8.25
12.95,9.04
13.19,7.58
13.43,7.84
13.68,7.21
13.92,8.91
14.16,8.95
14.41,7.72
14.65,5.34
14.89,8.0
15.14,6.78
15.38,7.42
15.62,9.01
15.86,7.17
16.11,6.02
16.35,5.18
16.59,5.46
16.84,6.89
17.08,5.81
17.32,6.59
17.57,4.7
17.81,4.23
18.05,3.37
18.3,3.54
18.54,3.14
18.78,3.59
19.03,3.02
19.27,1.27
19.51,3.69
19.76,1.63
20.0,0.0
