Retail and Consumer Behavior,the Influence of Retail and Consumer Behavior,linear,negative
Checkout time (minutes),Foot traffic (people/day)
0.0,51216.0
0.2,79383.89
0.39,100000.0
0.59,49113.46
0.78,67292.64
0.98,46357.89
1.18,42253.3
1.37,75405.9
1.57,93704.58
1.76,64129.91
1.96,77285.77
2.16,74548.35
2.35,99101.32
2.55,77118.79
2.75,61929.04
2.94,44862.79
3.14,51339.13
3.33,46595.09
3.53,27496.07
3.73,43284.13
3.92,45488.78
4.12,46890.73
4.31,51230.0
4.51,54327.89
4.71,48599.54
4.9,51333.9
5.1,34886.05
5.29,33249.04
5.49,62541.36
5.69,34931.81
5.88,30837.37
6.08,64872.56
6.27,13010.25
6.47,20742.97
6.67,38810.79
6.86,24530.76
7.06,36151.28
7.25,41811.56
7.45,17126.51
7.65,29936.55
7.84,9200.42
8.04,17052.1
8.24,14894.29
8.43,44893.85
8.63,20725.09
8.82,20990.71
9.02,20835.04
9.22,16492.99
9.41,11486.11
9.61,100.0
9.8,17977.4
10.0,13346.23
