Environmental Science and Ecology,the Trend of Environmental Science and Ecology,u_shape,positive
Average temperature (°C),Water quality (index)
0.0,97.88
0.58,91.81
1.15,83.59
1.73,75.43
2.31,72.15
2.88,64.99
3.46,64.42
4.04,54.38
4.62,51.42
5.19,48.46
5.77,48.9
6.35,38.66
6.92,29.06
7.5,25.35
8.08,22.44
8.65,23.07
9.23,19.87
9.81,18.27
10.38,18.56
10.96,11.35
11.54,7.81
12.12,9.1
12.69,6.16
13.27,6.66
13.85,11.36
14.42,4.88
15.0,0.0
15.58,6.86
16.15,10.31
16.73,2.39
17.31,5.05
17.88,14.17
18.46,10.96
19.04,9.8
19.62,14.16
20.19,17.2
20.77,16.62
21.35,23.11
21.92,27.97
22.5,29.74
23.08,31.5
23.65,38.26
24.23,43.53
24.81,43.3
25.38,50.43
25.96,55.87
26.54,64.36
27.12,66.83
27.69,71.43
28.27,77.77
28.85,82.75
29.42,94.88
30.0,100.0
