Environmental Science and Ecology,the Correlation of Environmental Science and Ecology,exponential,none
CO2 emissions (tons/year),Species diversity (count)
1.0,276.89
3.48,1.0
5.95,386.63
8.43,605.29
10.9,428.23
13.38,579.91
15.85,969.25
18.32,801.58
20.8,739.61
23.28,881.08
25.75,740.32
28.22,430.84
30.7,360.14
33.18,450.58
35.65,639.66
38.12,538.54
40.6,703.43
43.08,512.11
45.55,562.46
48.02,646.66
50.5,425.7
52.98,515.06
55.45,382.87
57.92,747.03
60.4,741.72
62.88,881.84
65.35,128.66
67.82,420.38
70.3,523.65
72.77,894.71
75.25,691.75
77.73,439.03
80.2,244.03
82.68,667.94
85.15,604.92
87.62,409.48
90.1,601.81
92.58,723.46
95.05,568.51
97.52,593.05
100.0,1000.0
