Agriculture and Food Production,the Analysis of Agriculture and Food Production,exponential,none
Irrigation amount (mm/season),Livestock health (rating)
100.0,3.67
161.29,4.7
222.58,1.27
283.87,4.95
345.16,2.82
406.45,4.89
467.74,1.3
529.03,2.61
590.32,1.0
651.61,1.5
712.9,2.78
774.19,2.92
835.48,2.24
896.77,5.0
958.06,3.55
1019.35,3.4
1080.65,2.44
1141.94,1.32
1203.23,3.27
1264.52,3.15
1325.81,2.78
1387.1,3.57
1448.39,3.57
1509.68,1.85
1570.97,2.58
1632.26,3.71
1693.55,4.16
1754.84,3.55
1816.13,3.11
1877.42,2.9
1938.71,4.47
2000.0,3.63
