Environmental Science and Ecology,the Interaction of Environmental Science and Ecology,u_shape,positive
Pollution level (index),Water quality (index)
10.0,100.0
11.08,87.39
12.17,79.37
13.25,81.09
14.34,77.26
15.42,79.69
16.51,62.0
17.59,69.79
18.67,72.51
19.76,53.4
20.84,62.64
21.93,50.01
23.01,56.63
24.1,46.69
25.18,31.99
26.27,46.02
27.35,28.41
28.43,34.8
29.52,33.63
30.6,26.17
31.69,28.98
32.77,22.71
33.86,28.38
34.94,13.48
36.02,22.96
37.11,6.72
38.19,11.7
39.28,10.29
40.36,14.07
41.45,11.78
42.53,7.89
43.61,6.69
44.7,12.87
45.78,12.36
46.87,12.38
47.95,9.75
49.04,10.94
50.12,0.0
51.2,3.7
52.29,2.55
53.37,9.84
54.46,2.0
55.54,12.4
56.63,12.18
57.71,9.27
58.8,11.47
59.88,7.5
60.96,6.7
62.05,5.62
63.13,7.85
64.22,13.51
65.3,12.37
66.39,22.41
67.47,21.09
68.55,5.53
69.64,14.1
70.72,9.29
71.81,17.36
72.89,22.83
73.98,28.44
75.06,26.81
76.14,29.68
77.23,30.94
78.31,28.37
79.4,37.99
80.48,27.28
81.57,45.99
82.65,31.44
83.73,36.46
84.82,41.11
85.9,42.39
86.99,53.53
88.07,49.32
89.16,57.84
90.24,49.98
91.33,73.7
92.41,64.69
93.49,68.34
94.58,76.33
95.66,72.98
96.75,83.72
97.83,77.06
98.92,82.21
100.0,89.12
