Transportation and Logistics,the Pattern of Transportation and Logistics,exponential,negative
Traffic volume (vehicles/day),Transport efficiency (%)
1000.0,95.0
3357.14,84.48
5714.29,91.74
8071.43,83.26
10428.57,75.08
12785.71,67.79
15142.86,70.43
17500.0,75.81
19857.14,68.01
22214.29,65.86
24571.43,71.25
26928.57,62.68
29285.71,60.45
31642.86,54.48
34000.0,69.56
36357.14,67.81
38714.29,58.64
41071.43,59.45
43428.57,50.0
45785.71,53.15
48142.86,62.38
50500.0,59.79
52857.14,50.57
55214.29,62.7
57571.43,54.76
59928.57,58.73
62285.71,60.29
64642.86,50.92
67000.0,65.07
69357.14,58.05
71714.29,63.75
74071.43,56.96
76428.57,60.97
78785.71,54.58
81142.86,58.7
83500.0,57.67
85857.14,64.87
88214.29,55.2
90571.43,58.74
92928.57,52.1
95285.71,58.36
97642.86,53.39
100000.0,53.3
