Real Estate and Construction,the Comparison of Real Estate and Construction,exponential,none
Interest rate (%),Construction time (months)
0.1,10.01
0.22,14.76
0.34,8.12
0.47,13.38
0.59,8.17
0.71,8.92
0.83,11.94
0.96,9.42
1.08,18.47
1.2,14.66
1.32,16.35
1.44,8.65
1.57,19.33
1.69,12.63
1.81,18.49
1.93,16.06
2.06,7.2
2.18,14.15
2.3,7.26
2.42,11.2
2.54,11.67
2.67,15.54
2.79,14.44
2.91,15.21
3.03,12.7
3.16,9.52
3.28,8.52
3.4,16.5
3.52,16.33
3.64,6.15
3.77,1.0
3.89,12.46
4.01,18.25
4.13,17.17
4.26,20.72
4.38,20.92
4.5,13.31
4.62,14.73
4.74,8.98
4.87,9.79
4.99,15.75
5.11,11.29
5.23,13.05
5.36,20.7
5.48,14.68
5.6,12.76
5.72,15.64
5.84,13.66
5.97,12.54
6.09,14.18
6.21,11.32
6.33,6.88
6.46,13.01
6.58,10.98
6.7,7.58
6.82,10.34
6.94,15.68
7.07,17.69
7.19,8.96
7.31,17.46
7.43,16.44
7.56,3.72
7.68,6.36
7.8,22.99
7.92,11.92
8.04,13.5
8.17,24.0
8.29,13.08
8.41,12.73
8.53,17.41
8.66,7.81
8.78,15.51
8.9,7.56
9.02,17.59
9.14,13.24
9.27,10.67
9.39,11.42
9.51,8.52
9.63,12.07
9.76,8.77
9.88,13.02
10.0,17.37
