Marketing and Sales,the Overview of Marketing and Sales,linear,none
Website traffic (visits/month),Customer lifetime value ($)
1000.0,2096.72
104082.47,3445.23
207164.95,2138.58
310247.42,2710.39
413329.9,2862.96
516412.37,3787.79
619494.85,3427.63
722577.32,778.26
825659.79,2855.33
928742.27,1596.14
1031824.74,4256.19
1134907.22,2026.5
1237989.69,3491.27
1341072.16,2112.27
1444154.64,3215.41
1547237.11,686.73
1650319.59,1821.14
1753402.06,4069.81
1856484.54,1862.39
1959567.01,2709.95
2062649.48,1202.47
2165731.96,4079.2
2268814.43,2892.76
2371896.91,3170.97
2474979.38,2353.39
2578061.86,502.46
2681144.33,572.41
2784226.8,2317.94
2887309.28,940.77
2990391.75,2256.17
3093474.23,108.25
3196556.7,3968.28
3299639.18,3492.74
3402721.65,3648.67
3505804.12,4013.95
3608886.6,2520.23
3711969.07,2558.29
3815051.55,3561.58
3918134.02,1651.38
4021216.49,2941.24
4124298.97,4322.66
4227381.44,3645.35
4330463.92,2796.42
4433546.39,2134.64
4536628.87,3115.51
4639711.34,4234.29
4742793.81,2453.81
4845876.29,2169.42
4948958.76,3440.45
5052041.24,2366.03
5155123.71,2723.05
5258206.19,3130.08
5361288.66,3444.83
5464371.13,2643.22
5567453.61,50.0
5670536.08,3330.64
5773618.56,3888.17
5876701.03,3526.6
5979783.51,3504.26
6082865.98,3165.22
6185948.45,2046.05
6289030.93,2647.14
6392113.4,3470.83
6495195.88,5000.0
6598278.35,1966.53
6701360.82,1476.99
6804443.3,2438.94
6907525.77,1995.03
7010608.25,1783.97
7113690.72,2506.49
7216773.2,1013.02
7319855.67,2096.33
7422938.14,2640.0
7526020.62,2060.67
7629103.09,3354.7
7732185.57,3771.22
7835268.04,2494.05
7938350.52,3174.72
8041432.99,1784.47
8144515.46,2991.62
8247597.94,3370.01
8350680.41,2446.81
8453762.89,3775.55
8556845.36,2536.38
8659927.84,1792.24
8763010.31,3519.97
8866092.78,2187.44
8969175.26,3369.43
9072257.73,2521.63
9175340.21,3753.59
9278422.68,3585.93
9381505.15,3849.76
9484587.63,1032.71
9587670.1,3484.98
9690752.58,2915.49
9793835.05,2791.83
9896917.53,2777.09
10000000.0,3208.92
