Agriculture and Food Production,the Influence of Agriculture and Food Production,u_shape,negative
Irrigation amount (mm/season),Soil quality (index)
100.0,0.0
139.58,24.36
179.17,15.35
218.75,31.13
258.33,35.14
297.92,42.79
337.5,44.15
377.08,54.49
416.67,57.45
456.25,60.77
495.83,61.9
535.42,60.3
575.0,78.73
614.58,80.37
654.17,77.33
693.75,81.82
733.33,81.64
772.92,84.84
812.5,83.26
852.08,84.38
891.67,93.25
931.25,89.18
970.83,91.08
1010.42,86.73
1050.0,84.89
1089.58,88.61
1129.17,95.28
1168.75,77.32
1208.33,91.72
1247.92,80.45
1287.5,100.0
1327.08,84.15
1366.67,77.93
1406.25,71.88
1445.83,86.95
1485.42,72.04
1525.0,61.99
1564.58,64.58
1604.17,61.24
1643.75,58.93
1683.33,45.17
1722.92,51.33
1762.5,54.19
1802.08,48.03
1841.67,33.4
1881.25,29.2
1920.83,26.33
1960.42,15.94
2000.0,13.54
