Retail and Consumer Behavior,the Analysis of Retail and Consumer Behavior,exponential,positive
Product price ($),Foot traffic (people/day)
1.0,6304.15
14.68,3082.31
28.37,3906.02
42.05,100.0
55.74,8020.35
69.42,3887.26
83.11,2716.65
96.79,4960.8
110.48,4662.29
124.16,5600.86
137.85,8668.31
151.53,6128.45
165.22,7850.95
178.9,15358.24
192.59,7056.01
206.27,7019.92
219.96,15106.79
233.64,12315.01
247.33,11251.33
261.01,14685.57
274.7,7760.72
288.38,15365.17
302.07,17364.27
315.75,12419.42
329.44,12355.56
343.12,10836.08
356.81,18509.84
370.49,17258.22
384.18,16513.03
397.86,21364.95
411.55,21089.6
425.23,23903.9
438.92,20719.34
452.6,18419.48
466.29,22493.26
479.97,22698.75
493.66,25178.74
507.34,26432.84
521.03,24085.24
534.71,27418.97
548.4,27580.94
562.08,28109.71
575.77,24273.21
589.45,27352.0
603.14,30115.05
616.82,33941.09
630.51,37033.53
644.19,35290.08
657.88,37911.65
671.56,40593.24
685.25,36285.84
698.93,46915.53
712.62,48388.35
726.3,48591.24
739.99,49074.02
753.67,52484.91
767.36,54642.24
781.04,54411.2
794.73,55771.1
808.41,58427.1
822.1,65243.17
835.78,64832.94
849.47,66363.85
863.15,69916.64
876.84,70349.43
890.52,76152.18
904.21,80433.77
917.89,82942.87
931.58,84158.51
945.26,92260.23
958.95,87805.99
972.63,92667.59
986.32,97704.34
1000.0,100000.0
