Education and Academics,the Overview of Education and Academics,exponential,none
School funding ($/student),College admission (%)
5000.0,78.18
5208.33,65.95
5416.67,55.32
5625.0,25.78
5833.33,63.18
6041.67,46.95
6250.0,81.79
6458.33,51.07
6666.67,23.95
6875.0,44.95
7083.33,47.38
7291.67,56.74
7500.0,39.32
7708.33,16.37
7916.67,47.57
8125.0,62.71
8333.33,65.05
8541.67,36.13
8750.0,37.39
8958.33,65.42
9166.67,40.21
9375.0,53.86
9583.33,37.5
9791.67,46.07
10000.0,41.18
10208.33,7.05
10416.67,28.66
10625.0,4.21
10833.33,45.15
11041.67,75.15
11250.0,41.04
11458.33,34.08
11666.67,45.57
11875.0,25.19
12083.33,80.86
12291.67,41.66
12500.0,35.38
12708.33,77.58
12916.67,43.43
13125.0,17.83
13333.33,37.82
13541.67,51.81
13750.0,67.18
13958.33,34.91
14166.67,41.16
14375.0,55.61
14583.33,57.73
14791.67,15.73
15000.0,0.0
15208.33,53.02
15416.67,29.47
15625.0,56.69
15833.33,78.84
16041.67,77.36
16250.0,56.28
16458.33,63.31
16666.67,42.61
16875.0,50.4
17083.33,27.01
17291.67,16.34
17500.0,48.09
17708.33,21.15
17916.67,73.17
18125.0,42.33
18333.33,77.52
18541.67,56.81
18750.0,49.83
18958.33,36.98
19166.67,50.53
19375.0,45.49
19583.33,57.58
19791.67,60.09
20000.0,39.3
20208.33,43.87
20416.67,32.67
20625.0,52.39
20833.33,42.52
21041.67,44.13
21250.0,55.11
21458.33,65.39
21666.67,17.11
21875.0,37.77
22083.33,47.93
22291.67,20.21
22500.0,31.25
22708.33,68.86
22916.67,52.25
23125.0,46.87
23333.33,57.51
23541.67,4.33
23750.0,100.0
23958.33,24.11
24166.67,34.45
24375.0,21.15
24583.33,14.66
24791.67,25.91
25000.0,41.54
