Sports and Fitness,the Analysis of Sports and Fitness,exponential,none
Nutrition intake (calories/day),Recovery time_Sports (days)
1000.0,3.64
1075.47,2.74
1150.94,5.93
1226.42,4.37
1301.89,5.57
1377.36,2.47
1452.83,2.3
1528.3,3.72
1603.77,7.0
1679.25,2.5
1754.72,6.22
1830.19,4.04
1905.66,1.54
1981.13,4.38
2056.6,2.02
2132.08,5.28
2207.55,5.15
2283.02,3.6
2358.49,4.25
2433.96,4.18
2509.43,0.5
2584.91,5.7
2660.38,5.03
2735.85,5.96
2811.32,2.14
2886.79,4.14
2962.26,4.28
3037.74,3.3
3113.21,4.19
3188.68,3.99
3264.15,5.85
3339.62,3.0
3415.09,2.65
3490.57,2.56
3566.04,2.58
3641.51,1.35
3716.98,5.76
3792.45,4.87
3867.92,4.29
3943.4,4.63
4018.87,4.17
4094.34,3.91
4169.81,4.5
4245.28,4.1
4320.75,3.35
4396.23,6.28
4471.7,4.8
4547.17,3.24
4622.64,3.25
4698.11,5.43
4773.58,4.57
4849.06,5.82
4924.53,2.72
5000.0,3.37
