Energy and Utilities,the Pattern of Energy and Utilities,exponential,positive
Energy consumption (kWh/month),Service cost ($/month)
1000.0,54.16
11406.25,115.01
21812.5,60.95
32218.75,108.47
42625.0,116.11
53031.25,162.26
63437.5,191.17
73843.75,123.27
84250.0,50.0
94656.25,150.83
105062.5,174.86
115468.75,93.27
125875.0,98.15
136281.25,66.67
146687.5,154.4
157093.75,116.43
167500.0,224.37
177906.25,110.41
188312.5,88.97
198718.75,107.6
209125.0,178.41
219531.25,189.76
229937.5,146.84
240343.75,122.62
250750.0,70.76
261156.25,187.13
271562.5,137.82
281968.75,124.91
292375.0,263.79
302781.25,163.62
313187.5,149.45
323593.75,62.2
334000.0,110.61
344406.25,173.09
354812.5,161.32
365218.75,197.78
375625.0,268.35
386031.25,177.81
396437.5,171.99
406843.75,195.09
417250.0,111.18
427656.25,214.69
438062.5,214.48
448468.75,225.57
458875.0,246.87
469281.25,194.8
479687.5,174.9
490093.75,224.51
500500.0,222.94
510906.25,275.16
521312.5,159.31
531718.75,224.54
542125.0,217.45
552531.25,280.38
562937.5,247.04
573343.75,218.25
583750.0,259.53
594156.25,302.05
604562.5,254.62
614968.75,381.78
625375.0,191.43
635781.25,214.52
646187.5,281.66
656593.75,189.26
667000.0,348.47
677406.25,252.35
687812.5,304.48
698218.75,395.77
708625.0,309.09
719031.25,249.85
729437.5,353.38
739843.75,347.2
750250.0,377.18
760656.25,253.61
771062.5,380.88
781468.75,444.31
791875.0,300.06
802281.25,318.24
812687.5,367.96
823093.75,391.86
833500.0,338.28
843906.25,384.57
854312.5,484.82
864718.75,393.79
875125.0,408.33
885531.25,419.75
895937.5,430.37
906343.75,407.74
916750.0,402.1
927156.25,450.81
937562.5,442.54
947968.75,489.47
958375.0,440.25
968781.25,414.54
979187.5,500.0
989593.75,474.7
1000000.0,465.57
