Social Media and Digital Media and Streaming,the Overview of Social Media and Digital Media and Streaming,linear,negative
Posting frequency (posts/day),View count (count)
1.0,6478439.43
1.2,1871505.12
1.4,4593477.26
1.61,6009214.43
1.81,9057794.46
2.01,7912734.09
2.21,6137124.8
2.41,6074250.68
2.62,7076134.52
2.82,6876536.28
3.02,9908658.16
3.22,8500819.28
3.43,9422484.2
3.63,6930891.48
3.83,7659756.28
4.03,4309878.86
4.23,8988616.79
4.44,6013689.78
4.64,3538649.59
4.84,7866141.87
5.04,8391194.75
5.24,9158875.96
5.45,8748639.43
5.65,2397022.83
5.85,6042756.44
6.05,7812017.47
6.26,5836909.63
6.46,2773323.94
6.66,6744700.06
6.86,4284458.59
7.06,5978038.22
7.27,5161672.42
7.47,6897598.73
7.67,4384382.26
7.87,7652170.02
8.07,4819502.23
8.28,5207683.38
8.48,3403986.82
8.68,5374453.43
8.88,6568151.86
9.09,9533269.15
9.29,5102733.02
9.49,3776233.48
9.69,2633264.12
9.89,4243781.01
10.1,8127002.03
10.3,6685261.05
10.5,5190249.49
10.7,5358719.79
10.9,7856813.99
11.11,3138749.13
11.31,3761184.16
11.51,1710712.08
11.71,100.0
11.91,7400617.43
12.12,4918531.03
12.32,5302926.92
12.52,6574351.2
12.72,5100856.37
12.93,3263444.61
13.13,1153890.77
13.33,8494304.57
13.53,5066129.28
13.73,6172976.59
13.94,6869408.94
14.14,4713519.08
14.34,4207761.14
14.54,4476106.73
14.74,5051236.3
14.95,4445705.52
15.15,3896090.93
15.35,5447743.05
15.55,3597839.25
15.76,7179636.48
15.96,10000000.0
16.16,5344415.15
16.36,2040086.01
16.56,4968831.81
16.77,1932243.1
16.97,6651787.36
17.17,5910369.2
17.37,1013451.13
17.57,5341687.65
17.78,1805860.68
17.98,5150358.09
18.18,4300929.61
18.38,7507747.71
18.59,1992449.22
18.79,3235623.79
18.99,6405032.45
19.19,106589.9
19.39,2388206.75
19.6,8028032.11
19.8,3840891.05
20.0,2796854.26
