Tourism and Hospitality,the Influence of Tourism and Hospitality,linear,negative
Hotel price ($/night),Customer reviews score (rating)
50.0,3.95
64.39,2.01
78.79,4.26
93.18,4.52
107.58,2.81
121.97,2.94
136.36,3.63
150.76,2.53
165.15,3.7
179.55,2.32
193.94,2.88
208.33,3.9
222.73,3.9
237.12,4.35
251.52,2.14
265.91,2.37
280.3,4.18
294.7,3.7
309.09,3.02
323.48,2.56
337.88,5.0
352.27,1.82
366.67,3.37
381.06,3.62
395.45,1.52
409.85,4.39
424.24,3.51
438.64,2.26
453.03,1.57
467.42,3.15
481.82,3.17
496.21,3.17
510.61,2.72
525.0,4.15
539.39,4.21
553.79,3.35
568.18,1.51
582.58,2.45
596.97,3.82
611.36,3.77
625.76,2.09
640.15,3.32
654.55,3.38
668.94,2.63
683.33,3.01
697.73,2.34
712.12,1.0
726.52,3.29
740.91,3.76
755.3,4.32
769.7,2.84
784.09,2.73
798.48,2.56
812.88,3.03
827.27,3.57
841.67,3.27
856.06,3.23
870.45,3.86
884.85,2.2
899.24,1.95
913.64,2.6
928.03,2.61
942.42,2.86
956.82,2.02
971.21,3.02
985.61,2.97
1000.0,3.71
