Retail and Consumer Behavior,the Overview of Retail and Consumer Behavior,u_shape,negative
Customer reviews count (count),Sales volume (units/month)
1.0,64241.13
113.35,199472.44
225.7,1322.6
338.04,153825.41
450.39,420921.12
562.74,251046.14
675.09,286449.3
787.44,293891.42
899.79,204302.33
1012.13,397986.59
1124.48,378114.12
1236.83,272757.32
1349.18,450983.25
1461.53,473108.37
1573.88,707375.77
1686.22,582652.52
1798.57,533315.52
1910.92,697209.6
2023.27,625229.98
2135.62,627432.38
2247.97,652367.09
2360.31,620343.94
2472.66,669934.05
2585.01,774549.31
2697.36,649625.64
2809.71,797132.54
2922.06,672845.56
3034.4,831601.17
3146.75,905063.72
3259.1,700821.65
3371.45,786901.74
3483.8,875768.99
3596.15,833484.46
3708.49,824999.56
3820.84,924743.15
3933.19,987810.97
4045.54,883248.99
4157.89,743382.99
4270.24,797141.85
4382.58,772237.53
4494.93,878936.18
4607.28,728817.46
4719.63,826313.19
4831.98,982315.85
4944.33,760462.53
5056.67,819049.2
5169.02,954498.6
5281.37,1000000.0
5393.72,905149.92
5506.07,966034.97
5618.42,770179.22
5730.76,866289.28
5843.11,847759.18
5955.46,803715.46
6067.81,991862.72
6180.16,842413.67
6292.51,851360.97
6404.85,885502.77
6517.2,909926.74
6629.55,894617.06
6741.9,773801.55
6854.25,787409.01
6966.6,760623.3
7078.94,733298.06
7191.29,783638.13
7303.64,753663.4
7415.99,594842.52
7528.34,676760.96
7640.69,604713.21
7753.03,652227.14
7865.38,664749.69
7977.73,588656.16
8090.08,439464.21
8202.43,489546.36
8314.78,502422.59
8427.12,542076.83
8539.47,395633.89
8651.82,468727.83
8764.17,388519.59
8876.52,360903.69
8988.87,374022.72
9101.21,363711.96
9213.56,445944.0
9325.91,158795.8
9438.26,233991.52
9550.61,184795.81
9662.96,199971.22
9775.3,137803.66
9887.65,126790.81
10000.0,100.0
