Finance and Economics,the Dynamics of Finance and Economics,u_shape,positive
Stock price ($),Exchange rate (currency/USD)
1.0,2.0
64.28,1.97
127.56,1.92
190.84,1.74
254.11,1.68
317.39,1.58
380.67,1.55
443.95,1.5
507.23,1.6
570.51,1.45
633.78,1.37
697.06,1.15
760.34,1.21
823.62,1.16
886.9,1.06
950.18,1.15
1013.46,0.99
1076.73,1.02
1140.01,0.97
1203.29,0.92
1266.57,0.94
1329.85,0.89
1393.13,0.83
1456.41,0.82
1519.68,0.8
1582.96,0.83
1646.24,0.71
1709.52,0.66
1772.8,0.7
1836.08,0.68
1899.35,0.67
1962.63,0.65
2025.91,0.6
2089.19,0.69
2152.47,0.6
2215.75,0.64
2279.03,0.61
2342.3,0.64
2405.58,0.63
2468.86,0.67
2532.14,0.5
2595.42,0.56
2658.7,0.53
2721.97,0.58
2785.25,0.65
2848.53,0.54
2911.81,0.71
2975.09,0.54
3038.37,0.55
3101.65,0.71
3164.92,0.71
3228.2,0.67
3291.48,0.8
3354.76,0.71
3418.04,0.75
3481.32,0.8
3544.59,0.76
3607.87,0.73
3671.15,0.86
3734.43,0.87
3797.71,0.96
3860.99,0.95
3924.27,1.06
3987.54,1.11
4050.82,1.12
4114.1,1.12
4177.38,1.15
4240.66,1.2
4303.94,1.27
4367.22,1.37
4430.49,1.38
4493.77,1.47
4557.05,1.47
4620.33,1.53
4683.61,1.58
4746.89,1.6
4810.16,1.82
4873.44,1.72
4936.72,1.89
5000.0,1.95
