Sports and Fitness,the Trend of Sports and Fitness,linear,positive
Nutrition intake (calories/day),Performance score (score)
1000.0,15.2
1048.78,23.27
1097.56,34.77
1146.34,0.0
1195.12,33.11
1243.9,15.2
1292.68,19.68
1341.46,30.67
1390.24,23.18
1439.02,3.53
1487.8,36.16
1536.59,31.77
1585.37,32.51
1634.15,31.64
1682.93,18.94
1731.71,27.42
1780.49,40.15
1829.27,24.14
1878.05,21.83
1926.83,33.51
1975.61,62.47
2024.39,35.05
2073.17,57.57
2121.95,28.66
2170.73,51.9
2219.51,41.96
2268.29,21.68
2317.07,42.64
2365.85,39.56
2414.63,27.96
2463.41,41.01
2512.2,24.35
2560.98,25.3
2609.76,53.01
2658.54,47.79
2707.32,50.85
2756.1,52.34
2804.88,29.65
2853.66,52.45
2902.44,46.57
2951.22,46.75
3000.0,24.59
3048.78,69.61
3097.56,54.99
3146.34,51.13
3195.12,43.99
3243.9,32.76
3292.68,61.61
3341.46,68.45
3390.24,66.07
3439.02,50.02
3487.8,66.7
3536.59,52.12
3585.37,35.59
3634.15,43.57
3682.93,57.66
3731.71,56.56
3780.49,45.54
3829.27,67.7
3878.05,76.64
3926.83,59.34
3975.61,50.49
4024.39,88.18
4073.17,46.14
4121.95,49.91
4170.73,68.66
4219.51,61.2
4268.29,51.56
4317.07,66.33
4365.85,73.07
4414.63,56.76
4463.41,57.04
4512.2,75.09
4560.98,66.67
4609.76,71.08
4658.54,68.27
4707.32,63.89
4756.1,84.13
4804.88,66.42
4853.66,78.11
4902.44,61.01
4951.22,100.0
5000.0,89.38
