Technology and Innovation,the Comparison of Technology and Innovation,u_shape,positive
Internet speed (Mbps),E-commerce sales ($)
10.0,947683239.37
20.65,988592910.12
31.29,905035217.47
41.94,862757646.69
52.58,874790843.57
63.23,832981218.93
73.87,773762354.94
84.52,696054041.68
95.16,692063901.42
105.81,671288280.72
116.45,639604776.66
127.1,685592041.81
137.74,599691818.5
148.39,539400720.03
159.03,495951173.89
169.68,486372628.44
180.32,434636232.64
190.97,466573315.52
201.61,435551428.04
212.26,346511284.38
222.9,402563992.47
233.55,384570303.52
244.19,335037276.03
254.84,273712738.52
265.48,334788429.68
276.13,304775466.48
286.77,270156314.12
297.42,200388079.6
308.06,231878535.66
318.71,200671569.73
329.35,211010506.18
340.0,156857124.03
350.65,189940091.34
361.29,174894431.96
371.94,208407382.02
382.58,145199120.99
393.23,186561423.57
403.87,84140810.17
414.52,114536680.14
425.16,95766789.3
435.81,85017850.6
446.45,90470685.08
457.1,48463970.22
467.74,111007164.64
478.39,93991410.09
489.03,71804178.14
499.68,93416592.79
510.32,103661846.96
520.97,105680679.45
531.61,10000.0
542.26,57802705.85
552.9,54496717.92
563.55,89884941.73
574.19,39269373.14
584.84,78685226.28
595.48,118679667.86
606.13,117573604.53
616.77,105476191.76
627.42,186517088.79
638.06,181568987.22
648.71,252766700.94
659.35,209208660.51
670.0,183745800.66
680.65,165582776.66
691.29,207220046.73
701.94,238272569.64
712.58,246644190.73
723.23,246107418.11
733.87,296634811.73
744.52,322789872.0
755.16,293266180.8
765.81,340924701.48
776.45,394511034.11
787.1,419812265.13
797.74,383516836.11
808.39,487292668.51
819.03,474611378.46
829.68,456950092.41
840.32,482802019.45
850.97,535861348.88
861.61,584658206.91
872.26,540641350.68
882.9,623540953.57
893.55,694760217.08
904.19,697626024.48
914.84,785059012.49
925.48,726185351.19
936.13,792977463.24
946.77,815193049.09
957.42,891701896.47
968.06,909989211.1
978.71,996161072.98
989.35,920469178.16
1000.0,1000000000.0
