Social Media and Digital Media and Streaming,the Relationship of Social Media and Digital Media and Streaming,linear,negative
Content length (minutes),Conversion rate (%)
1.0,6.37
1.6,6.29
2.19,9.06
2.79,7.85
3.38,7.1
3.98,7.31
4.58,8.8
5.17,5.44
5.77,5.08
6.36,6.53
6.96,7.1
7.56,7.13
8.15,10.0
8.75,3.61
9.34,7.93
9.94,4.4
10.54,5.78
11.13,7.17
11.73,6.92
12.32,4.05
12.92,6.59
13.52,4.91
14.11,5.0
14.71,5.97
15.3,5.54
15.9,4.65
16.49,5.94
17.09,8.37
17.69,5.7
18.28,5.45
18.88,7.38
19.47,6.52
20.07,5.04
20.67,4.91
21.26,3.69
21.86,6.9
22.45,4.6
23.05,4.28
23.65,5.98
24.24,2.9
24.84,4.09
25.43,5.87
26.03,6.36
26.63,5.27
27.22,3.71
27.82,5.23
28.41,5.26
29.01,7.43
29.61,5.88
30.2,4.21
30.8,5.87
31.39,7.26
31.99,2.39
32.59,5.31
33.18,6.31
33.78,5.61
34.37,3.94
34.97,5.12
35.57,7.13
36.16,3.49
36.76,0.81
37.35,1.67
37.95,1.38
38.55,5.14
39.14,1.39
39.74,6.3
40.33,3.74
40.93,4.16
41.53,4.59
42.12,6.69
42.72,4.65
43.31,3.84
43.91,2.98
44.51,4.25
45.1,4.06
45.7,4.36
46.29,2.62
46.89,4.23
47.48,4.79
48.08,1.23
48.68,2.54
49.27,1.83
49.87,3.35
50.46,2.37
51.06,3.44
51.66,1.71
52.25,3.72
52.85,0.0
53.44,2.18
54.04,5.13
54.64,3.47
55.23,2.26
55.83,1.37
56.42,1.73
57.02,4.22
57.62,3.27
58.21,2.78
58.81,2.43
59.4,1.39
60.0,1.97
