Retail and Consumer Behavior,the Correlation of Retail and Consumer Behavior,u_shape,negative
Customer reviews count (count),Customer satisfaction (rating)
1.0,2.28
286.69,2.67
572.37,2.44
858.06,2.71
1143.74,2.44
1429.43,3.33
1715.11,4.43
2000.8,3.08
2286.49,3.86
2572.17,3.42
2857.86,3.88
3143.54,4.26
3429.23,4.03
3714.91,3.93
4000.6,4.05
4286.29,4.67
4571.97,4.27
4857.66,5.0
5143.34,4.4
5429.03,4.82
5714.71,4.85
6000.4,4.05
6286.09,4.58
6571.77,4.17
6857.46,4.15
7143.14,4.07
7428.83,3.75
7714.51,3.43
8000.2,3.68
8285.89,3.51
8571.57,2.5
8857.26,2.78
9142.94,2.5
9428.63,1.76
9714.31,1.0
10000.0,1.98
