Agriculture and Food Production,the Relationship of Agriculture and Food Production,u_shape,positive
Pest control spending ($/hectare),Product freshness (rating)
10.0,5.0
20.21,4.75
30.42,4.03
40.62,4.19
50.83,3.66
61.04,3.36
71.25,3.2
81.46,3.09
91.67,2.67
101.88,2.73
112.08,2.35
122.29,2.16
132.5,2.26
142.71,1.97
152.92,1.94
163.13,1.67
173.33,1.58
183.54,1.65
193.75,1.62
203.96,1.34
214.17,1.05
224.38,1.65
234.58,1.61
244.79,1.15
255.0,1.26
265.21,1.18
275.42,1.0
285.63,1.7
295.83,1.23
306.04,1.64
316.25,1.63
326.46,1.49
336.67,1.97
346.88,1.61
357.08,1.87
367.29,1.86
377.5,2.26
387.71,2.24
397.92,2.81
408.12,2.54
418.33,3.01
428.54,3.19
438.75,3.2
448.96,3.49
459.17,3.47
469.38,3.67
479.58,4.34
489.79,4.34
500.0,4.65
