Education and Academics,the Pattern of Education and Academics,u_shape,negative
Study hours (hours/week),Test scores (score)
1.0,586.78
1.49,599.54
1.99,738.59
2.48,642.07
2.97,786.9
3.47,760.64
3.96,860.99
4.46,841.29
4.95,1254.96
5.44,1160.09
5.94,925.73
6.43,896.16
6.92,879.57
7.42,1184.63
7.91,1045.57
8.41,1195.84
8.9,985.8
9.39,954.95
9.89,1024.68
10.38,1366.16
10.87,1190.64
11.37,1389.45
11.86,1314.69
12.35,1318.35
12.85,1358.68
13.34,1101.38
13.84,1255.32
14.33,1216.59
14.82,1355.01
15.32,1495.16
15.81,1300.16
16.3,1410.26
16.8,1202.51
17.29,1385.54
17.78,1434.84
18.28,1332.25
18.77,1471.84
19.27,1411.82
19.76,1382.15
20.25,1490.31
20.75,1337.52
21.24,1414.6
21.73,1543.44
22.23,1339.75
22.72,1298.53
23.22,1448.94
23.71,1274.1
24.2,1494.99
24.7,1121.56
25.19,1335.62
25.68,1328.36
26.18,1406.39
26.67,1394.14
27.16,1273.17
27.66,1274.98
28.15,1352.41
28.65,1351.75
29.14,1600.0
29.63,1204.08
30.13,1080.78
30.62,1259.45
31.11,1158.05
31.61,1030.0
32.1,1089.18
32.59,1053.65
33.09,1107.86
33.58,1078.55
34.08,903.98
34.57,970.35
35.06,865.29
35.56,730.06
36.05,579.25
36.54,835.92
37.04,563.42
37.53,721.63
38.03,580.67
38.52,716.81
39.01,610.36
39.51,641.18
40.0,400.0
