Environmental Science and Ecology,the Overview of Environmental Science and Ecology,u_shape,positive
Forest cover (%),Crop yield (tons/hectare)
10.0,10.0
10.94,8.96
11.88,8.69
12.82,8.98
13.76,8.27
14.71,8.2
15.65,7.58
16.59,7.57
17.53,7.16
18.47,5.98
19.41,6.21
20.35,5.98
21.29,5.9
22.24,6.18
23.18,5.48
24.12,4.93
25.06,5.0
26.0,5.03
26.94,4.18
27.88,4.44
28.82,3.77
29.76,3.66
30.71,3.39
31.65,3.03
32.59,3.6
33.53,3.29
34.47,2.89
35.41,3.21
36.35,2.7
37.29,2.75
38.24,2.67
39.18,2.63
40.12,2.06
41.06,2.16
42.0,1.81
42.94,2.19
43.88,1.5
44.82,1.39
45.76,1.78
46.71,2.08
47.65,1.52
48.59,1.63
49.53,1.0
50.47,2.14
51.41,1.94
52.35,1.62
53.29,1.34
54.24,1.71
55.18,1.65
56.12,2.04
57.06,2.31
58.0,1.91
58.94,2.3
59.88,2.46
60.82,2.69
61.76,2.14
62.71,2.77
63.65,2.41
64.59,3.03
65.53,2.86
66.47,2.32
67.41,3.21
68.35,3.0
69.29,3.99
70.24,3.84
71.18,4.22
72.12,4.02
73.06,4.33
74.0,4.88
74.94,4.96
75.88,5.5
76.82,5.11
77.76,5.3
78.71,5.66
79.65,6.53
80.59,6.19
81.53,6.89
82.47,6.82
83.41,6.89
84.35,7.64
85.29,7.97
86.24,7.97
87.18,8.32
88.12,8.94
89.06,9.02
90.0,9.72
