Transportation and Logistics,the Relationship of Transportation and Logistics,u_shape,negative
Delivery time (hours),Transport efficiency (%)
0.5,53.24
0.62,54.27
0.74,53.84
0.86,62.11
0.98,51.74
1.1,61.24
1.22,63.97
1.34,64.4
1.46,61.99
1.58,67.83
1.7,68.43
1.82,70.39
1.94,71.24
2.06,74.19
2.18,73.9
2.3,73.51
2.42,79.12
2.54,75.29
2.66,81.03
2.78,76.66
2.91,79.52
3.03,81.67
3.15,88.2
3.27,88.1
3.39,84.88
3.51,90.72
3.63,87.19
3.75,89.91
3.87,92.31
3.99,87.76
4.11,85.9
4.23,92.13
4.35,87.29
4.47,93.29
4.59,89.06
4.71,90.27
4.83,92.67
4.95,89.64
5.07,90.48
5.19,92.93
5.31,95.0
5.43,86.16
5.55,89.92
5.67,90.98
5.79,91.85
5.91,86.63
6.03,89.25
6.15,90.81
6.27,90.17
6.39,87.9
6.51,86.8
6.63,91.48
6.75,83.23
6.87,90.12
6.99,90.01
7.11,89.61
7.23,82.08
7.35,84.81
7.47,85.2
7.59,79.97
7.72,80.77
7.84,81.25
7.96,80.14
8.08,77.72
8.2,77.94
8.32,73.2
8.44,73.81
8.56,69.37
8.68,66.94
8.8,71.69
8.92,66.16
9.04,66.34
9.16,68.97
9.28,59.39
9.4,61.52
9.52,58.42
9.64,58.68
9.76,56.12
9.88,57.0
10.0,50.0
