Transportation and Logistics,the Analysis of Transportation and Logistics,linear,positive
Fuel cost ($/gallon),Customer satisfaction (rating)
2.0,2.01
2.03,1.64
2.06,2.45
2.09,1.0
2.13,1.84
2.16,1.61
2.19,1.14
2.22,1.9
2.25,1.66
2.28,1.24
2.32,2.04
2.35,1.89
2.38,1.99
2.41,2.12
2.44,2.79
2.47,1.86
2.51,2.56
2.54,2.5
2.57,2.24
2.6,1.89
2.63,2.05
2.66,1.76
2.69,2.36
2.73,2.72
2.76,1.8
2.79,2.14
2.82,2.19
2.85,1.85
2.88,1.59
2.92,2.36
2.95,3.25
2.98,2.82
3.01,3.01
3.04,2.84
3.07,3.33
3.11,3.16
3.14,3.17
3.17,2.98
3.2,2.73
3.23,3.03
3.26,2.79
3.29,2.84
3.33,2.89
3.36,3.14
3.39,2.2
3.42,3.11
3.45,2.53
3.48,4.07
3.52,3.97
3.55,3.53
3.58,2.53
3.61,3.27
3.64,3.31
3.67,3.85
3.71,2.8
3.74,3.18
3.77,3.21
3.8,3.11
3.83,3.45
3.86,2.39
3.89,3.99
3.93,2.63
3.96,3.36
3.99,3.26
4.02,3.54
4.05,3.43
4.08,3.73
4.12,3.95
4.15,3.39
4.18,4.01
4.21,3.62
4.24,4.19
4.27,3.6
4.31,3.41
4.34,4.2
4.37,4.02
4.4,4.26
4.43,3.64
4.46,4.27
4.49,4.57
4.53,4.37
4.56,4.08
4.59,4.14
4.62,3.77
4.65,4.08
4.68,3.73
4.72,4.79
4.75,4.03
4.78,4.34
4.81,3.9
4.84,3.86
4.87,4.8
4.91,4.35
4.94,3.69
4.97,4.53
5.0,5.0
