Social Media and Digital Media and Streaming,the Interaction of Social Media and Digital Media and Streaming,exponential,none
Follower count (count),Engagement rate (%)
100.0,16.69
164032.79,1.25
327965.57,7.61
491898.36,20.0
655831.15,4.28
819763.93,5.93
983696.72,7.1
1147629.51,5.75
1311562.3,0.05
1475495.08,1.23
1639427.87,7.28
1803360.66,2.12
1967293.44,4.27
2131226.23,9.98
2295159.02,10.64
2459091.8,9.69
2623024.59,4.52
2786957.38,6.17
2950890.16,16.95
3114822.95,2.01
3278755.74,3.2
3442688.52,5.66
3606621.31,0.0
3770554.1,7.18
3934486.89,7.76
4098419.67,5.33
4262352.46,6.27
4426285.25,10.6
4590218.03,7.61
4754150.82,9.6
4918083.61,3.1
5082016.39,8.02
5245949.18,0.32
5409881.97,8.11
5573814.75,4.44
5737747.54,2.82
5901680.33,2.18
6065613.11,6.76
6229545.9,12.06
6393478.69,5.68
6557411.48,3.64
6721344.26,2.91
6885277.05,3.19
7049209.84,8.53
7213142.62,6.5
7377075.41,8.03
7541008.2,5.07
7704940.98,9.11
7868873.77,7.87
8032806.56,8.89
8196739.34,6.85
8360672.13,7.94
8524604.92,9.45
8688537.7,9.35
8852470.49,9.96
9016403.28,6.37
9180336.07,4.1
9344268.85,13.09
9508201.64,6.44
9672134.43,7.28
9836067.21,5.02
10000000.0,7.62
