Education and Academics,the Dynamics of Education and Academics,linear,none
Parental education (years),Test scores (score)
0.0,852.71
0.3,907.93
0.61,1226.44
0.91,1156.77
1.21,951.31
1.52,1189.08
1.82,910.6
2.12,1339.75
2.42,919.43
2.73,1086.01
3.03,769.81
3.33,819.8
3.64,944.52
3.94,780.84
4.24,1299.01
4.55,1189.32
4.85,767.72
5.15,1332.97
5.45,866.47
5.76,1000.51
6.06,1250.32
6.36,684.06
6.67,779.9
6.97,787.03
7.27,1194.62
7.58,1138.61
7.88,1244.33
8.18,921.81
8.48,850.06
8.79,935.23
9.09,1227.0
9.39,1252.91
9.7,1031.95
10.0,967.43
10.3,796.27
10.61,963.46
10.91,1306.31
11.21,797.91
11.52,1560.28
11.82,1258.68
12.12,939.65
12.42,960.88
12.73,775.37
13.03,574.08
13.33,1361.98
13.64,1055.84
13.94,400.0
14.24,1133.17
14.55,697.68
14.85,866.3
15.15,546.4
15.45,1206.66
15.76,734.06
16.06,701.79
16.36,1483.06
16.67,849.53
16.97,1258.59
17.27,1116.99
17.58,887.85
17.88,1303.75
18.18,973.71
18.48,1304.34
18.79,731.2
19.09,1600.0
19.39,1322.35
19.7,1497.4
20.0,1566.98
