Agriculture and Food Production,the Dynamics of Agriculture and Food Production,u_shape,positive
Irrigation amount (mm/season),Livestock health (rating)
100.0,4.84
133.33,4.85
166.67,4.19
200.0,4.45
233.33,4.25
266.67,3.98
300.0,3.45
333.33,3.41
366.67,3.02
400.0,2.5
433.33,2.75
466.67,2.68
500.0,2.26
533.33,2.07
566.67,2.11
600.0,2.21
633.33,1.76
666.67,1.94
700.0,1.34
733.33,1.5
766.67,1.47
800.0,1.02
833.33,1.17
866.67,1.35
900.0,1.54
933.33,1.03
966.67,1.58
1000.0,1.14
1033.33,1.35
1066.67,1.24
1100.0,1.32
1133.33,1.0
1166.67,1.13
1200.0,1.26
1233.33,1.25
1266.67,1.06
1300.0,1.77
1333.33,1.84
1366.67,1.88
1400.0,1.7
1433.33,1.76
1466.67,2.02
1500.0,2.12
1533.33,2.43
1566.67,2.39
1600.0,2.5
1633.33,2.64
1666.67,2.84
1700.0,3.22
1733.33,2.89
1766.67,3.46
1800.0,3.3
1833.33,3.79
1866.67,4.14
1900.0,4.28
1933.33,4.42
1966.67,4.74
2000.0,5.0
