Energy and Utilities,the Analysis of Energy and Utilities,exponential,negative
Renewable energy share (%),Energy efficiency (%)
0.0,100.0
1.41,94.03
2.82,87.8
4.23,69.26
5.63,65.76
7.04,50.97
8.45,54.39
9.86,57.69
11.27,41.76
12.68,54.08
14.08,37.55
15.49,22.64
16.9,38.15
18.31,30.65
19.72,33.06
21.13,26.45
22.54,32.51
23.94,30.21
25.35,24.59
26.76,14.49
28.17,26.12
29.58,21.11
30.99,13.97
32.39,30.75
33.8,19.76
35.21,25.41
36.62,26.37
38.03,32.14
39.44,12.26
40.85,16.51
42.25,19.6
43.66,8.36
45.07,18.84
46.48,23.47
47.89,14.9
49.3,20.96
50.7,13.97
52.11,25.97
53.52,18.47
54.93,22.96
56.34,5.48
57.75,18.98
59.15,8.65
60.56,12.66
61.97,20.58
63.38,3.36
64.79,5.52
66.2,21.1
67.61,9.35
69.01,16.83
70.42,14.13
71.83,16.76
73.24,8.25
74.65,3.26
76.06,8.65
77.46,3.37
78.87,26.0
80.28,11.94
81.69,13.7
83.1,0.0
84.51,20.62
85.92,11.29
87.32,19.79
88.73,13.4
90.14,11.97
91.55,12.6
92.96,15.49
94.37,15.96
95.77,14.49
97.18,3.67
98.59,11.99
100.0,7.34
