Sports and Fitness,the Trend of Sports and Fitness,exponential,none
Nutrition intake (calories/day),Performance score (score)
1000.0,37.01
1042.11,26.68
1084.21,55.75
1126.32,32.86
1168.42,41.38
1210.53,31.36
1252.63,36.93
1294.74,68.06
1336.84,53.93
1378.95,43.39
1421.05,57.48
1463.16,53.36
1505.26,45.29
1547.37,22.1
1589.47,48.0
1631.58,32.11
1673.68,56.25
1715.79,56.64
1757.89,26.13
1800.0,28.08
1842.11,43.77
1884.21,51.7
1926.32,100.0
1968.42,68.48
2010.53,61.4
2052.63,74.34
2094.74,36.9
2136.84,41.55
2178.95,54.14
2221.05,42.38
2263.16,28.43
2305.26,48.64
2347.37,48.57
2389.47,45.3
2431.58,19.85
2473.68,47.34
2515.79,40.97
2557.89,61.86
2600.0,53.89
2642.11,45.48
2684.21,57.94
2726.32,48.13
2768.42,64.81
2810.53,18.44
2852.63,0.0
2894.74,31.83
2936.84,54.15
2978.95,27.71
3021.05,62.49
3063.16,64.94
3105.26,34.81
3147.37,36.1
3189.47,50.73
3231.58,59.01
3273.68,87.5
3315.79,41.81
3357.89,16.59
3400.0,39.69
3442.11,33.1
3484.21,15.84
3526.32,26.64
3568.42,63.23
3610.53,50.11
3652.63,23.33
3694.74,64.45
3736.84,24.06
3778.95,48.55
3821.05,42.05
3863.16,41.31
3905.26,43.21
3947.37,55.04
3989.47,67.51
4031.58,43.09
4073.68,42.58
4115.79,46.58
4157.89,28.85
4200.0,29.76
4242.11,43.89
4284.21,33.4
4326.32,59.22
4368.42,8.44
4410.53,52.63
4452.63,61.34
4494.74,32.7
4536.84,33.22
4578.95,31.84
4621.05,63.73
4663.16,49.72
4705.26,54.85
4747.37,39.11
4789.47,44.94
4831.58,49.27
4873.68,66.52
4915.79,28.21
4957.89,36.42
5000.0,58.51
