Healthcare and Medicine,the Overview of Healthcare and Medicine,linear,positive
Blood pressure (mmHg),Survival rate (%)
80.0,50.0
81.12,65.35
82.25,58.72
83.37,62.16
84.49,65.12
85.62,55.08
86.74,58.28
87.87,64.03
88.99,51.37
90.11,63.4
91.24,54.06
92.36,54.66
93.48,60.04
94.61,60.56
95.73,66.02
96.85,57.62
97.98,59.71
99.1,64.41
100.22,60.93
101.35,65.37
102.47,56.89
103.6,51.76
104.72,62.13
105.84,67.55
106.97,65.2
108.09,65.17
109.21,63.23
110.34,56.39
111.46,65.96
112.58,69.21
113.71,66.99
114.83,73.57
115.96,60.29
117.08,68.26
118.2,72.55
119.33,66.3
120.45,66.6
121.57,71.41
122.7,66.63
123.82,60.9
124.94,65.16
126.07,73.18
127.19,72.02
128.31,78.92
129.44,64.67
130.56,66.89
131.69,76.68
132.81,81.31
133.93,77.14
135.06,81.85
136.18,72.42
137.3,83.57
138.43,77.49
139.55,82.58
140.67,75.85
141.8,78.07
142.92,86.55
144.04,85.71
145.17,81.6
146.29,75.04
147.42,85.28
148.54,78.27
149.66,79.68
150.79,76.83
151.91,81.08
153.03,89.96
154.16,73.72
155.28,73.97
156.4,79.64
157.53,87.37
158.65,79.47
159.78,81.84
160.9,91.96
162.02,82.79
163.15,86.68
164.27,89.77
165.39,86.14
166.52,94.85
167.64,83.98
168.76,92.32
169.89,88.84
171.01,88.99
172.13,88.44
173.26,85.68
174.38,90.77
175.51,100.0
176.63,96.09
177.75,86.27
178.88,93.32
180.0,96.23
