Finance and Economics,the Pattern of Finance and Economics,linear,negative
Inflation rate (%),Investment rate (%)
-2.0,42.82
-1.84,47.36
-1.68,50.0
-1.52,42.18
-1.36,44.34
-1.2,37.09
-1.04,44.93
-0.88,41.06
-0.72,31.93
-0.56,41.87
-0.4,36.46
-0.24,34.34
-0.08,31.99
0.08,37.06
0.24,38.24
0.4,36.27
0.56,43.18
0.72,35.34
0.88,31.98
1.04,37.85
1.2,28.52
1.36,33.35
1.52,36.88
1.68,33.79
1.84,30.66
2.0,36.99
2.16,36.34
2.32,29.36
2.48,33.89
2.64,39.6
2.8,21.56
2.96,32.94
3.12,31.59
3.28,32.87
3.44,37.46
3.6,31.49
3.76,27.35
3.92,24.87
4.08,22.43
4.24,25.6
4.4,26.29
4.56,35.86
4.72,26.91
4.88,30.41
5.04,29.82
5.2,15.49
5.36,29.52
5.52,29.1
5.68,28.04
5.84,21.56
6.0,20.41
6.16,25.37
6.32,19.77
6.48,18.55
6.64,23.55
6.8,25.82
6.96,17.36
7.12,20.91
7.28,21.22
7.44,17.78
7.6,18.62
7.76,12.3
7.92,5.0
8.08,17.58
8.24,14.61
8.4,25.99
8.56,13.75
8.72,13.21
8.88,14.88
9.04,10.78
9.2,17.47
9.36,16.93
9.52,11.61
9.68,13.63
9.84,24.37
10.0,9.23
