Transportation and Logistics,the Influence of Transportation and Logistics,linear,positive
Delivery time (hours),Cost per mile ($)
0.5,1.75
0.68,0.5
0.86,1.86
1.04,3.57
1.22,2.09
1.4,2.02
1.58,3.63
1.75,4.11
1.93,4.01
2.11,2.48
2.29,1.82
2.47,2.61
2.65,4.99
2.83,3.31
3.01,2.26
3.19,3.39
3.37,3.1
3.55,1.42
3.73,1.42
3.91,3.3
4.08,1.96
4.26,2.4
4.44,2.48
4.62,3.02
4.8,1.43
4.98,2.52
5.16,2.53
5.34,4.06
5.52,3.16
5.7,1.17
5.88,4.35
6.06,1.18
6.24,3.19
6.42,2.07
6.59,3.43
6.77,3.49
6.95,2.58
7.13,4.81
7.31,3.65
7.49,3.03
7.67,3.5
7.85,2.19
8.03,2.11
8.21,4.5
8.39,3.68
8.57,5.0
8.75,1.55
8.92,2.62
9.1,3.62
9.28,3.5
9.46,4.34
9.64,3.25
9.82,2.99
10.0,4.0
