Energy and Utilities,the Correlation of Energy and Utilities,u_shape,negative
Grid stability (index),Customer outage duration (hours/year)
0.0,0.0
1.54,2.55
3.08,2.56
4.62,5.31
6.15,5.66
7.69,6.43
9.23,7.03
10.77,7.1
12.31,11.73
13.85,10.29
15.38,13.09
16.92,12.59
18.46,12.39
20.0,15.5
21.54,13.59
23.08,15.08
24.62,17.52
26.15,16.23
27.69,18.92
29.23,18.07
30.77,20.03
32.31,19.34
33.85,20.19
35.38,21.39
36.92,21.19
38.46,24.0
40.0,21.32
41.54,21.94
43.08,20.48
44.62,22.64
46.15,21.16
47.69,23.0
49.23,22.53
50.77,22.13
52.31,22.89
53.85,22.07
55.38,22.23
56.92,23.47
58.46,20.13
60.0,22.43
61.54,23.91
63.08,20.49
64.62,19.07
66.15,22.36
67.69,18.14
69.23,22.27
70.77,20.33
72.31,21.64
73.85,18.16
75.38,18.43
76.92,17.32
78.46,18.33
80.0,12.48
81.54,13.66
83.08,13.62
84.62,10.71
86.15,10.39
87.69,12.17
89.23,8.4
90.77,5.94
92.31,7.83
93.85,5.47
95.38,3.11
96.92,3.99
98.46,0.36
100.0,0.78
