Agriculture and Food Production,the Comparison of Agriculture and Food Production,u_shape,negative
Irrigation amount (mm/season),Food production cost ($/ton)
100.0,100.0
132.76,143.15
165.52,317.23
198.28,415.0
231.03,598.85
263.79,735.28
296.55,764.07
329.31,759.04
362.07,1039.17
394.83,1078.32
427.59,1107.83
460.34,1179.35
493.1,1311.8
525.86,1407.87
558.62,1479.82
591.38,1631.63
624.14,1567.37
656.9,1710.4
689.66,1674.65
722.41,1763.04
755.17,1778.45
787.93,1784.03
820.69,1761.52
853.45,1834.58
886.21,1791.75
918.97,1879.35
951.72,2000.0
984.48,1905.18
1017.24,1982.84
1050.0,1888.39
1082.76,1870.14
1115.52,1887.76
1148.28,1907.69
1181.03,1982.0
1213.79,1854.71
1246.55,1827.5
1279.31,1778.68
1312.07,1889.57
1344.83,1781.02
1377.59,1712.24
1410.34,1633.59
1443.1,1585.41
1475.86,1707.08
1508.62,1468.12
1541.38,1464.67
1574.14,1375.42
1606.9,1252.16
1639.66,1279.96
1672.41,1211.58
1705.17,884.78
1737.93,942.98
1770.69,852.47
1803.45,699.69
1836.21,805.46
1868.97,563.99
1901.72,415.47
1934.48,218.76
1967.24,255.12
2000.0,141.58
