Agriculture and Food Production,the Pattern of Agriculture and Food Production,linear,none
Farm size (hectares),Product freshness (rating)
1.0,2.39
33.23,3.47
65.45,5.0
97.68,2.94
129.9,2.89
162.13,3.07
194.35,3.03
226.58,2.84
258.81,3.56
291.03,3.92
323.26,4.09
355.48,4.36
387.71,3.2
419.94,1.0
452.16,3.19
484.39,2.25
516.61,1.58
548.84,3.9
581.06,4.06
613.29,2.44
645.52,4.03
677.74,3.71
709.97,1.71
742.19,2.91
774.42,2.51
806.65,2.25
838.87,2.11
871.1,1.7
903.32,3.37
935.55,4.35
967.77,3.39
1000.0,3.25
