Environmental Science and Ecology,the Correlation of Environmental Science and Ecology,u_shape,positive
Pollution level (index),Glacier size (km²)
10.0,821.71
12.5,857.32
15.0,774.73
17.5,755.38
20.0,473.17
22.5,470.32
25.0,475.36
27.5,334.73
30.0,301.76
32.5,236.35
35.0,179.18
37.5,157.27
40.0,76.55
42.5,51.44
45.0,13.85
47.5,95.1
50.0,23.27
52.5,6.48
55.0,42.96
57.5,1.0
60.0,35.24
62.5,2.43
65.0,26.41
67.5,79.79
70.0,137.86
72.5,159.3
75.0,141.24
77.5,175.87
80.0,325.17
82.5,298.97
85.0,393.57
87.5,522.73
90.0,527.48
92.5,598.38
95.0,773.67
97.5,1000.0
100.0,989.82
