Social Media and Digital Media and Streaming,the Correlation of Social Media and Digital Media and Streaming,u_shape,negative
Follower count (count),Shares (count)
100.0,16304.61
322677.42,9799.65
645254.84,23479.15
967832.26,30213.72
1290409.68,38158.17
1612987.1,46539.77
1935564.52,50045.74
2258141.94,59070.71
2580719.35,51794.59
2903296.77,58629.21
3225874.19,92834.29
3548451.61,71341.94
3871029.03,65414.13
4193606.45,78946.0
4516183.87,85928.12
4838761.29,81265.29
5161338.71,82952.65
5483916.13,88282.94
5806493.55,85092.12
6129070.97,76061.05
6451648.39,100000.0
6774225.81,55177.53
7096803.23,77130.55
7419380.65,67335.6
7741958.06,55885.62
8064535.48,51191.59
8387112.9,49680.42
8709690.32,39991.83
9032267.74,29580.82
9354845.16,19554.97
9677422.58,23557.11
10000000.0,10.0
