Human Resources and Workplace,the Influence of Human Resources and Workplace,linear,none
Employee training hours (hours/year),Absenteeism (days/year)
1.0,2.8
1.96,6.41
2.92,2.61
3.88,7.19
4.84,5.06
5.8,8.13
6.76,4.66
7.73,9.47
8.69,6.74
9.65,2.58
10.61,4.81
11.57,6.87
12.53,6.83
13.49,6.22
14.45,8.18
15.41,3.9
16.37,7.24
17.33,5.61
18.29,4.74
19.25,4.69
20.22,6.92
21.18,7.6
22.14,6.33
23.1,4.27
24.06,5.0
25.02,2.52
25.98,5.18
26.94,7.74
27.9,6.71
28.86,1.08
29.82,5.86
30.78,2.84
31.75,4.98
32.71,7.78
33.67,7.37
34.63,8.72
35.59,0.0
36.55,1.37
37.51,5.0
38.47,7.99
39.43,5.53
40.39,1.41
41.35,5.08
42.31,1.02
43.27,5.64
44.24,10.0
45.2,4.68
46.16,4.79
47.12,5.07
48.08,5.38
49.04,8.98
50.0,8.84
