Retail and Consumer Behavior,the Dynamics of Retail and Consumer Behavior,u_shape,negative
Checkout time (minutes),Customer satisfaction (rating)
0.0,1.22
0.18,1.3
0.36,1.82
0.54,2.14
0.71,2.44
0.89,2.53
1.07,2.67
1.25,2.81
1.43,2.95
1.61,3.02
1.79,3.52
1.96,3.34
2.14,3.96
2.32,3.62
2.5,3.92
2.68,4.32
2.86,4.3
3.04,4.73
3.21,4.27
3.39,4.5
3.57,4.62
3.75,4.67
3.93,4.67
4.11,4.87
4.29,4.82
4.46,4.8
4.64,5.0
4.82,4.69
5.0,4.66
5.18,4.79
5.36,4.97
5.54,4.6
5.71,4.88
5.89,4.58
6.07,4.89
6.25,4.48
6.43,4.55
6.61,4.29
6.79,4.46
6.96,4.6
7.14,4.17
7.32,4.09
7.5,4.39
7.68,3.75
7.86,3.54
8.04,3.69
8.21,3.42
8.39,3.25
8.57,3.27
8.75,2.49
8.93,2.69
9.11,2.1
9.29,2.15
9.46,1.7
9.64,1.64
9.82,1.62
10.0,1.0
