Education and Academics,the Pattern of Education and Academics,u_shape,positive
School funding ($/student),Literacy rate (%)
5000.0,97.08
5317.46,96.19
5634.92,95.52
5952.38,95.75
6269.84,95.74
6587.3,91.93
6904.76,89.94
7222.22,85.14
7539.68,89.03
7857.14,84.77
8174.6,84.23
8492.06,83.03
8809.52,84.41
9126.98,83.26
9444.44,81.95
9761.9,79.15
10079.37,77.75
10396.83,79.4
10714.29,77.58
11031.75,76.22
11349.21,79.52
11666.67,74.4
11984.13,77.66
12301.59,76.27
12619.05,72.73
12936.51,75.93
13253.97,74.17
13571.43,70.0
13888.89,73.93
14206.35,76.51
14523.81,72.73
14841.27,75.45
15158.73,72.63
15476.19,72.25
15793.65,72.84
16111.11,73.56
16428.57,74.21
16746.03,72.34
17063.49,73.99
17380.95,76.77
17698.41,76.84
18015.87,76.47
18333.33,74.36
18650.79,74.75
18968.25,74.18
19285.71,77.43
19603.17,77.96
19920.63,78.07
20238.1,80.93
20555.56,79.58
20873.02,82.54
21190.48,84.4
21507.94,83.36
21825.4,82.99
22142.86,85.76
22460.32,89.97
22777.78,86.07
23095.24,89.98
23412.7,89.3
23730.16,93.99
24047.62,93.94
24365.08,95.86
24682.54,95.13
25000.0,100.0
