Education and Academics,the Dynamics of Education and Academics,exponential,positive
Household income ($),Literacy rate (%)
20000.0,77.86
22368.42,78.98
24736.84,72.6
27105.26,70.0
29473.68,77.82
31842.11,80.3
34210.53,76.75
36578.95,78.26
38947.37,79.8
41315.79,82.13
43684.21,80.96
46052.63,76.67
48421.05,76.16
50789.47,82.51
53157.89,82.3
55526.32,78.26
57894.74,82.28
60263.16,84.4
62631.58,80.63
65000.0,84.68
67368.42,78.28
69736.84,86.44
72105.26,78.35
74473.68,81.84
76842.11,79.53
79210.53,76.89
81578.95,76.81
83947.37,90.9
86315.79,82.46
88684.21,81.98
91052.63,82.51
93421.05,84.48
95789.47,86.24
98157.89,83.53
100526.32,83.19
102894.74,90.1
105263.16,87.69
107631.58,86.56
110000.0,87.31
112368.42,82.02
114736.84,85.89
117105.26,88.65
119473.68,85.64
121842.11,84.13
124210.53,90.02
126578.95,83.86
128947.37,90.18
131315.79,87.45
133684.21,90.27
136052.63,83.2
138421.05,91.71
140789.47,90.24
143157.89,90.17
145526.32,88.16
147894.74,92.29
150263.16,89.37
152631.58,95.5
155000.0,91.53
157368.42,96.02
159736.84,85.77
162105.26,89.74
164473.68,88.38
166842.11,94.13
169210.53,96.16
171578.95,86.09
173947.37,91.75
176315.79,97.1
178684.21,94.5
181052.63,94.8
183421.05,87.98
185789.47,93.98
188157.89,93.48
190526.32,89.8
192894.74,91.53
195263.16,94.41
197631.58,92.87
200000.0,100.0
