Retail and Consumer Behavior,the Analysis of Retail and Consumer Behavior,exponential,none
Checkout time (minutes),Customer satisfaction (rating)
0.0,2.38
0.2,2.58
0.41,3.64
0.61,3.6
0.82,1.68
1.02,2.83
1.22,3.57
1.43,4.23
1.63,3.62
1.84,3.77
2.04,3.59
2.24,5.0
2.45,2.15
2.65,2.5
2.86,2.4
3.06,1.0
3.27,3.85
3.47,4.12
3.67,2.75
3.88,4.02
4.08,1.74
4.29,2.64
4.49,3.59
4.69,1.91
4.9,4.28
5.1,2.95
5.31,2.94
5.51,2.23
5.71,3.07
5.92,3.2
6.12,3.23
6.33,2.47
6.53,3.14
6.73,2.02
6.94,2.63
7.14,2.27
7.35,3.08
7.55,2.89
7.76,4.76
7.96,3.23
8.16,1.34
8.37,3.0
8.57,2.99
8.78,3.46
8.98,2.56
9.18,2.37
9.39,2.14
9.59,1.55
9.8,2.5
10.0,2.71
