Real Estate and Construction,the Comparison of Real Estate and Construction,exponential,none
Interest rate (%),Rental yield (%)
0.1,5.36
0.36,5.87
0.62,7.77
0.88,5.18
1.14,4.09
1.4,5.47
1.66,5.05
1.92,2.64
2.18,1.93
2.44,2.92
2.71,4.45
2.97,1.85
3.23,6.12
3.49,5.58
3.75,6.45
4.01,1.94
4.27,3.29
4.53,5.55
4.79,3.6
5.05,3.56
5.31,3.67
5.57,5.22
5.83,3.22
6.09,5.2
6.35,6.38
6.61,2.94
6.87,6.47
7.13,4.59
7.39,2.06
7.66,2.31
7.92,3.85
8.18,1.13
8.44,4.74
8.7,5.12
8.96,1.0
9.22,2.53
9.48,10.0
9.74,3.34
10.0,3.92
