Retail and Consumer Behavior,the Trend of Retail and Consumer Behavior,u_shape,negative
Checkout time (minutes),Sales volume (units/month)
0.0,74646.09
0.19,126386.04
0.37,153870.83
0.56,270432.07
0.74,303599.11
0.93,399234.95
1.11,415999.19
1.3,493068.1
1.48,554743.71
1.67,530857.03
1.85,556212.13
2.04,631003.47
2.22,695506.01
2.41,711542.83
2.59,762105.42
2.78,777818.28
2.96,778741.53
3.15,811542.63
3.33,866603.34
3.52,928429.18
3.7,955055.85
3.89,946971.95
4.07,899805.92
4.26,966698.48
4.44,957316.44
4.63,913117.93
4.81,919766.03
5.0,1000000.0
5.19,962493.42
5.37,950439.37
5.56,925940.94
5.74,814891.92
5.93,968271.65
6.11,835314.22
6.3,851718.64
6.48,867003.41
6.67,851231.5
6.85,858621.78
7.04,930328.63
7.22,843670.01
7.41,678124.36
7.59,765874.39
7.78,646150.76
7.96,612989.28
8.15,610374.25
8.33,610242.26
8.52,498144.64
8.7,377203.08
8.89,353289.95
9.07,398388.36
9.26,265670.46
9.44,221542.94
9.63,187677.11
9.81,154009.55
10.0,100.0
