Technology and Innovation,the Distribution of Technology and Innovation,u_shape,positive
Data usage (GB/month),E-commerce sales ($)
1.0,980972756.03
17.38,1000000000.0
33.75,862331460.25
50.13,740921001.6
66.51,771525874.86
82.89,677564335.39
99.26,609526466.73
115.64,587387713.09
132.02,554478064.32
148.39,494766663.47
164.77,497697586.81
181.15,409462054.51
197.52,303829989.56
213.9,371878079.21
230.28,328433003.06
246.66,292734399.1
263.03,251776894.82
279.41,166610537.37
295.79,146924695.59
312.16,196893061.13
328.54,130838442.94
344.92,143689903.82
361.3,113483765.65
377.67,87178373.6
394.05,71224167.38
410.43,51238587.03
426.8,60171836.21
443.18,10000.0
459.56,51267959.03
475.93,82260961.28
492.31,12983019.33
508.69,33981265.87
525.07,48788298.7
541.44,51952967.82
557.82,120288269.32
574.2,43904999.46
590.57,40227384.87
606.95,103071015.39
623.33,165787273.8
639.7,102038286.5
656.08,119465895.43
672.46,165306342.94
688.84,151068716.26
705.21,180474888.93
721.59,216124798.83
737.97,258003185.73
754.34,324026304.13
770.72,267075063.39
787.1,326450356.98
803.48,410477791.57
819.85,426140057.92
836.23,478493362.59
852.61,548452264.98
868.98,519565521.33
885.36,642348599.59
901.74,702784465.19
918.11,660498548.57
934.49,721356110.9
950.87,821938408.58
967.25,865501654.66
983.62,924039419.05
1000.0,981985605.48
