Human Resources and Workplace,the Analysis of Human Resources and Workplace,linear,negative
Salary ($/year),Productivity (index)
30000.0,125.09
32266.67,112.85
34533.33,134.89
36800.0,111.9
39066.67,95.34
41333.33,93.16
43600.0,127.96
45866.67,117.62
48133.33,113.1
50400.0,122.58
52666.67,117.95
54933.33,134.57
57200.0,90.03
59466.67,116.54
61733.33,119.18
64000.0,120.62
66266.67,129.06
68533.33,80.73
70800.0,82.45
73066.67,130.33
75333.33,114.14
77600.0,116.02
79866.67,150.0
82133.33,110.14
84400.0,117.75
86666.67,109.35
88933.33,124.26
91200.0,112.31
93466.67,109.84
95733.33,81.35
98000.0,104.41
100266.67,112.45
102533.33,109.44
104800.0,92.21
107066.67,107.48
109333.33,122.0
111600.0,101.55
113866.67,66.47
116133.33,97.14
118400.0,103.32
120666.67,88.94
122933.33,103.31
125200.0,94.63
127466.67,148.16
129733.33,71.98
132000.0,129.27
134266.67,91.37
136533.33,89.0
138800.0,76.05
141066.67,100.24
143333.33,89.03
145600.0,116.31
147866.67,111.77
150133.33,97.68
152400.0,73.87
154666.67,82.18
156933.33,89.65
159200.0,68.21
161466.67,50.0
163733.33,53.51
166000.0,93.51
168266.67,97.49
170533.33,101.87
172800.0,87.23
175066.67,53.96
177333.33,96.35
179600.0,96.75
181866.67,97.24
184133.33,73.56
186400.0,100.61
188666.67,93.8
190933.33,56.81
193200.0,79.16
195466.67,99.84
197733.33,70.65
200000.0,107.15
