Finance and Economics,the Pattern of Finance and Economics,exponential,positive
GDP growth (%),Investment rate (%)
-5.0,7.7
-4.83,6.24
-4.66,5.82
-4.48,5.0
-4.31,7.5
-4.14,7.56
-3.97,7.45
-3.79,7.85
-3.62,9.51
-3.45,6.62
-3.28,6.54
-3.1,7.38
-2.93,9.02
-2.76,7.76
-2.59,6.95
-2.41,7.6
-2.24,7.4
-2.07,7.33
-1.9,8.96
-1.72,8.14
-1.55,8.87
-1.38,8.42
-1.21,8.43
-1.03,8.83
-0.86,9.27
-0.69,10.96
-0.52,10.36
-0.34,10.33
-0.17,9.44
-0.0,10.81
0.17,11.43
0.34,12.27
0.52,10.96
0.69,12.14
0.86,12.47
1.03,12.66
1.21,12.64
1.38,13.02
1.55,12.83
1.72,13.85
1.9,13.62
2.07,13.78
2.24,14.35
2.41,14.58
2.59,16.24
2.76,14.77
2.93,16.26
3.1,17.21
3.28,16.21
3.45,16.58
3.62,16.62
3.79,19.32
3.97,17.86
4.14,17.42
4.31,20.96
4.48,19.18
4.66,19.36
4.83,21.97
5.0,22.39
5.17,22.46
5.34,22.14
5.52,22.95
5.69,24.9
5.86,25.24
6.03,25.29
6.21,25.76
6.38,25.97
6.55,28.54
6.72,27.66
6.9,29.56
7.07,31.01
7.24,31.36
7.41,33.11
7.59,32.24
7.76,34.04
7.93,35.35
8.1,34.79
8.28,36.85
8.45,38.21
8.62,37.47
8.79,39.23
8.97,42.2
9.14,41.76
9.31,43.69
9.48,44.44
9.66,48.15
9.83,47.25
10.0,50.0
