Environmental Science and Ecology,the Overview of Environmental Science and Ecology,u_shape,negative
Average temperature (°C),Water quality (index)
0.0,4.48
0.33,13.78
0.66,9.41
0.99,16.66
1.32,12.8
1.65,23.3
1.98,22.44
2.31,26.82
2.64,27.86
2.97,33.48
3.3,42.1
3.63,39.84
3.96,41.47
4.29,36.38
4.62,50.44
4.95,51.92
5.27,56.28
5.6,53.7
5.93,62.79
6.26,62.56
6.59,60.7
6.92,62.58
7.25,66.76
7.58,78.25
7.91,73.29
8.24,74.79
8.57,82.06
8.9,79.03
9.23,84.13
9.56,80.27
9.89,81.9
10.22,86.92
10.55,82.06
10.88,84.46
11.21,89.08
11.54,86.2
11.87,88.34
12.2,88.81
12.53,87.13
12.86,88.83
13.19,94.46
13.52,89.78
13.85,89.54
14.18,86.29
14.51,94.01
14.84,100.0
15.16,92.26
15.49,89.04
15.82,80.61
16.15,88.77
16.48,84.11
16.81,91.35
17.14,89.43
17.47,90.04
17.8,88.45
18.13,90.08
18.46,85.19
18.79,82.54
19.12,89.89
19.45,84.16
19.78,81.46
20.11,79.58
20.44,87.68
20.77,84.32
21.1,74.99
21.43,82.3
21.76,71.22
22.09,71.52
22.42,71.63
22.75,67.01
23.08,55.75
23.41,72.11
23.74,61.78
24.07,56.59
24.4,51.62
24.73,60.49
25.05,53.08
25.38,49.23
25.71,50.37
26.04,36.78
26.37,38.69
26.7,35.68
27.03,33.82
27.36,38.19
27.69,21.01
28.02,24.73
28.35,16.63
28.68,17.65
29.01,20.9
29.34,9.54
29.67,0.0
30.0,6.47
