Human Resources and Workplace,the Influence of Human Resources and Workplace,exponential,none
Employee training hours (hours/year),Job satisfaction (rating)
1.0,2.03
1.58,4.11
2.17,2.62
2.75,4.5
3.33,3.39
3.92,3.16
4.5,3.72
5.08,5.0
5.67,2.86
6.25,3.45
6.83,3.82
7.42,3.21
8.0,4.13
8.58,3.53
9.17,2.86
9.75,3.56
10.33,2.93
10.92,1.02
11.5,3.67
12.08,4.11
12.67,3.33
13.25,3.53
13.83,3.6
14.42,3.61
15.0,2.78
15.58,2.9
16.17,3.35
16.75,3.2
17.33,3.72
17.92,2.48
18.5,3.71
19.08,2.05
19.67,3.69
20.25,2.6
20.83,3.01
21.42,3.24
22.0,3.53
22.58,3.17
23.17,2.53
23.75,3.69
24.33,3.13
24.92,3.96
25.5,4.08
26.08,2.75
26.67,2.98
27.25,3.58
27.83,3.26
28.42,1.68
29.0,2.77
29.58,2.6
30.17,1.76
30.75,2.21
31.33,3.82
31.92,2.86
32.5,1.87
33.08,3.71
33.67,2.92
34.25,3.41
34.83,3.49
35.42,1.91
36.0,3.27
36.58,1.0
37.17,3.24
37.75,3.07
38.33,3.84
38.92,2.45
39.5,3.13
40.08,4.19
40.67,4.19
41.25,2.98
41.83,3.43
42.42,3.28
43.0,3.92
43.58,2.16
44.17,2.17
44.75,1.92
45.33,3.96
45.92,4.15
46.5,4.32
47.08,2.31
47.67,3.56
48.25,2.18
48.83,2.03
49.42,3.46
50.0,1.97
