Retail and Consumer Behavior,the Overview of Retail and Consumer Behavior,u_shape,positive
Promotional spending ($),Customer satisfaction (rating)
100.0,4.91
3127.27,4.49
6154.55,4.06
9181.82,3.86
12209.09,3.17
15236.36,3.06
18263.64,2.58
21290.91,2.27
24318.18,2.1
27345.45,1.96
30372.73,1.79
33400.0,1.68
36427.27,1.37
39454.55,1.36
42481.82,1.27
45509.09,1.04
48536.36,1.02
51563.64,1.25
54590.91,1.0
57618.18,1.2
60645.45,1.46
63672.73,1.36
66700.0,1.5
69727.27,1.84
72754.55,1.94
75781.82,2.27
78809.09,2.34
81836.36,2.44
84863.64,3.13
87890.91,3.42
90918.18,3.62
93945.45,4.37
96972.73,4.7
100000.0,5.0
