Education and Academics,the Distribution of Education and Academics,exponential,negative
Study hours (hours/week),Graduation rate (%)
1.0,100.0
1.75,93.62
2.5,90.62
3.25,81.35
4.0,75.22
4.75,76.98
5.5,76.4
6.25,71.69
7.0,61.06
7.75,67.13
8.5,62.56
9.25,67.52
10.0,62.95
10.75,54.92
11.5,52.8
12.25,63.39
13.0,59.15
13.75,70.99
14.5,59.37
15.25,60.03
16.0,52.66
16.75,58.44
17.5,53.4
18.25,54.56
19.0,54.19
19.75,63.51
20.5,58.44
21.25,53.76
22.0,50.88
22.75,54.7
23.5,54.35
24.25,53.39
25.0,50.0
25.75,55.85
26.5,51.26
27.25,52.17
28.0,51.73
28.75,52.47
29.5,54.96
30.25,55.2
31.0,56.86
31.75,57.95
32.5,57.74
33.25,54.5
34.0,57.2
34.75,55.4
35.5,52.66
36.25,56.82
37.0,60.46
37.75,56.66
38.5,52.9
39.25,52.98
40.0,53.31
