Agriculture and Food Production,the Trend of Agriculture and Food Production,linear,none
Pest control spending ($/hectare),Livestock health (rating)
10.0,2.27
15.05,4.14
20.1,2.29
25.15,2.51
30.21,2.3
35.26,3.62
40.31,2.88
45.36,3.25
50.41,2.64
55.46,3.83
60.52,3.52
65.57,2.89
70.62,2.48
75.67,3.35
80.72,3.31
85.77,3.45
90.82,2.21
95.88,3.21
100.93,3.39
105.98,3.92
111.03,3.22
116.08,3.21
121.13,3.96
126.19,2.9
131.24,2.31
136.29,2.48
141.34,2.72
146.39,3.01
151.44,2.59
156.49,1.76
161.55,1.49
166.6,2.24
171.65,2.43
176.7,1.61
181.75,2.58
186.8,2.66
191.86,2.79
196.91,2.31
201.96,2.45
207.01,3.65
212.06,1.43
217.11,2.62
222.16,2.08
227.22,2.5
232.27,5.0
237.32,3.19
242.37,2.98
247.42,2.55
252.47,3.02
257.53,2.79
262.58,3.04
267.63,3.07
272.68,2.78
277.73,2.39
282.78,3.66
287.84,1.93
292.89,1.29
297.94,2.42
302.99,2.79
308.04,4.24
313.09,4.38
318.14,2.93
323.2,3.33
328.25,2.98
333.3,2.92
338.35,4.76
343.4,3.48
348.45,2.44
353.51,1.6
358.56,2.06
363.61,2.19
368.66,3.52
373.71,4.16
378.76,3.79
383.81,1.0
388.87,3.3
393.92,4.07
398.97,2.85
404.02,4.38
409.07,3.11
414.12,1.97
419.18,3.58
424.23,1.09
429.28,4.38
434.33,3.1
439.38,2.21
444.43,2.61
449.48,3.62
454.54,2.94
459.59,2.0
464.64,1.89
469.69,2.52
474.74,1.96
479.79,3.72
484.85,3.96
489.9,3.66
494.95,3.63
500.0,3.71
