Marketing and Sales,the Correlation of Marketing and Sales,exponential,negative
Customer acquisition cost ($),Bounce rate (%)
10.0,80.0
15.21,77.38
20.43,64.18
25.64,59.07
30.85,61.48
36.06,53.88
41.28,63.58
46.49,51.42
51.7,57.13
56.91,40.02
62.13,46.31
67.34,48.78
72.55,41.69
77.77,41.85
82.98,44.69
88.19,30.29
93.4,27.53
98.62,33.68
103.83,37.4
109.04,33.9
114.26,36.04
119.47,37.92
124.68,25.02
129.89,40.29
135.11,31.55
140.32,25.11
145.53,26.0
150.74,22.44
155.96,28.65
161.17,15.11
166.38,32.72
171.6,23.46
176.81,21.52
182.02,20.0
187.23,23.32
192.45,12.88
197.66,24.0
202.87,21.19
208.09,24.56
213.3,29.22
218.51,24.13
223.72,18.47
228.94,26.63
234.15,25.58
239.36,27.62
244.57,25.3
249.79,21.61
255.0,21.88
260.21,21.91
265.43,17.88
270.64,14.72
275.85,27.84
281.06,27.89
286.28,21.84
291.49,26.09
296.7,11.55
301.91,19.97
307.13,28.26
312.34,23.03
317.55,13.59
322.77,24.44
327.98,14.04
333.19,17.13
338.4,27.16
343.62,21.39
348.83,17.49
354.04,19.89
359.26,18.91
364.47,19.87
369.68,19.89
374.89,22.66
380.11,11.4
385.32,33.42
390.53,14.34
395.74,22.42
400.96,24.73
406.17,23.31
411.38,21.92
416.6,18.89
421.81,17.77
427.02,22.93
432.23,15.46
437.45,22.34
442.66,13.62
447.87,20.76
453.09,16.68
458.3,20.93
463.51,22.34
468.72,10.0
473.94,24.5
479.15,17.16
484.36,13.54
489.57,17.29
494.79,20.87
500.0,15.88
